time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,7,2,3,3
2026-08-02 00:00:00+00:00,15,7,3,3
2026-08-03 00:00:00+00:00,11,8,3,3
2026-08-04 00:00:00+00:00,10,5,6,6
2026-08-05 00:00:00+00:00,10,5,4,4
2026-08-06 00:00:00+00:00,8,4,7,5
2026-08-07 00:00:00+00:00,19,6,1,1
2026-08-08 00:00:00+00:00,7,6,1,1
2026-08-09 00:00:00+00:00,2,2,0,0
2026-08-10 00:00:00+00:00,1,1,3,3
2026-08-11 00:00:00+00:00,10,5,26,5
2026-08-12 00:00:00+00:00,14,5,16,13
2026-08-13 00:00:00+00:00,7,3,2,2
2026-08-14 00:00:00+00:00,16,7,3,1
