time_iso8601,stars_cumulative
2023-12-22 00:00:00+00:00,1
2023-12-23 00:00:00+00:00,2
2024-05-29 00:00:00+00:00,5
2024-08-21 00:00:00+00:00,7
2024-08-28 00:00:00+00:00,8
2024-08-30 00:00:00+00:00,9
2024-09-20 00:00:00+00:00,11
2024-10-04 00:00:00+00:00,12
2024-10-24 00:00:00+00:00,13
2024-12-04 00:00:00+00:00,14
2024-12-10 00:00:00+00:00,15
2024-12-11 00:00:00+00:00,16
2025-01-31 00:00:00+00:00,17
2025-03-24 00:00:00+00:00,18
2025-03-27 00:00:00+00:00,19
2025-04-10 00:00:00+00:00,20
2025-05-31 00:00:00+00:00,21
2025-08-26 00:00:00+00:00,22
2025-10-18 00:00:00+00:00,23
