IndexMUSE,IndexConsecutive,ROINameMUSE
0,0,background
4,1,3rd_ventricle
11,2,4th_ventricle
23,3,right_accumbens_area
30,4,left_accumbens_area
31,5,right_amygdala
32,6,left_amygdala
35,7,brain_stem
36,8,right_caudate
37,9,left_caudate
38,10,right_cerebellum_exterior
39,11,left_cerebellum_exterior
40,12,right_cerebellum_white_matter
41,13,left_cerebellum_white_matter
42,14,right_cerebral_exterior
43,15,left_cerebral_exterior
46,16,csf
47,17,right_hippocampus
48,18,left_hippocampus
49,19,right_inf_lat_vent
50,20,left_inf_lat_vent
51,21,right_lateral_ventricle
52,22,left_lateral_ventricle
55,23,right_pallidum
56,24,left_pallidum
57,25,right_putamen
58,26,left_putamen
59,27,right_thalamus_proper
60,28,left_thalamus_proper
61,29,right_ventral_dc
62,30,left_ventral_dc
63,31,right_vessel
64,32,left_vessel
69,33,optic_chiasm
71,34,cerebellar_vermal_lobules_i-v
72,35,cerebellar_vermal_lobules_vi-vii
73,36,cerebellar_vermal_lobules_viii-x
75,37,left_basal_forebrain
76,38,right_basal_forebrain
81,39,frontal_lobe_wm_right
82,40,frontal_lobe_wm_left
83,41,occipital_lobe_wm_right
84,42,occipital_lobe_wm_left
85,43,parietal_lobe_wm_right
86,44,parietal_lobe_wm_left
87,45,temporal_lobe_wm_right
88,46,temporal_lobe_wm_left
89,47,fornix_right
90,48,fornix_left
91,49,anterior_limb_of_internal_capsule_right
92,50,anterior_limb_of_internal_capsule_left
93,51,posterior_limb_of_internal_capsule_inc._cerebral_peduncle_right
94,52,posterior_limb_of_internal_capsule_inc._cerebral_peduncle_left
95,53,corpus_callosum
100,54,right_acgg_anterior_cingulate_gyrus
101,55,left_acgg_anterior_cingulate_gyrus
102,56,right_ains_anterior_insula
103,57,left_ains_anterior_insula
104,58,right_aorg_anterior_orbital_gyrus
105,59,left_aorg_anterior_orbital_gyrus
106,60,right_ang_angular_gyrus
107,61,left_ang_angular_gyrus
108,62,right_calc_calcarine_cortex
109,63,left_calc_calcarine_cortex
112,64,right_co_central_operculum
113,65,left_co_central_operculum
114,66,right_cun_cuneus
115,67,left_cun_cuneus
116,68,right_ent_entorhinal_area
117,69,left_ent_entorhinal_area
118,70,right_fo_frontal_operculum
119,71,left_fo_frontal_operculum
120,72,right_frp_frontal_pole
121,73,left_frp_frontal_pole
122,74,right_fug_fusiform_gyrus
123,75,left_fug_fusiform_gyrus
124,76,right_gre_gyrus_rectus
125,77,left_gre_gyrus_rectus
128,78,right_iog_inferior_occipital_gyrus
129,79,left_iog_inferior_occipital_gyrus
132,80,right_itg_inferior_temporal_gyrus
133,81,left_itg_inferior_temporal_gyrus
134,82,right_lig_lingual_gyrus
135,83,left_lig_lingual_gyrus
136,84,right_lorg_lateral_orbital_gyrus
137,85,left_lorg_lateral_orbital_gyrus
138,86,right_mcgg_middle_cingulate_gyrus
139,87,left_mcgg_middle_cingulate_gyrus
140,88,right_mfc_medial_frontal_cortex
141,89,left_mfc_medial_frontal_cortex
142,90,right_mfg_middle_frontal_gyrus
143,91,left_mfg_middle_frontal_gyrus
144,92,right_mog_middle_occipital_gyrus
145,93,left_mog_middle_occipital_gyrus
146,94,right_morg_medial_orbital_gyrus
147,95,left_morg_medial_orbital_gyrus
148,96,right_mpog_postcentral_gyrus_medial_segment
149,97,left_mpog_postcentral_gyrus_medial_segment
150,98,right_mprg_precentral_gyrus_medial_segment
151,99,left_mprg_precentral_gyrus_medial_segment
152,100,right_msfg_superior_frontal_gyrus_medial_segment
153,101,left_msfg_superior_frontal_gyrus_medial_segment
154,102,right_mtg_middle_temporal_gyrus
155,103,left_mtg_middle_temporal_gyrus
156,104,right_ocp_occipital_pole
157,105,left_ocp_occipital_pole
160,106,right_ofug_occipital_fusiform_gyrus
161,107,left_ofug_occipital_fusiform_gyrus
162,108,right_opifg_opercular_part_of_the_inferior_frontal_gyrus
163,109,left_opifg_opercular_part_of_the_inferior_frontal_gyrus
164,110,right_orifg_orbital_part_of_the_inferior_frontal_gyrus
165,111,left_orifg_orbital_part_of_the_inferior_frontal_gyrus
166,112,right_pcgg_posterior_cingulate_gyrus
167,113,left_pcgg_posterior_cingulate_gyrus
168,114,right_pcu_precuneus
169,115,left_pcu_precuneus
170,116,right_phg_parahippocampal_gyrus
171,117,left_phg_parahippocampal_gyrus
172,118,right_pins_posterior_insula
173,119,left_pins_posterior_insula
174,120,right_po_parietal_operculum
175,121,left_po_parietal_operculum
176,122,right_pog_postcentral_gyrus
177,123,left_pog_postcentral_gyrus
178,124,right_porg_posterior_orbital_gyrus
179,125,left_porg_posterior_orbital_gyrus
180,126,right_pp_planum_polare
181,127,left_pp_planum_polare
182,128,right_prg_precentral_gyrus
183,129,left_prg_precentral_gyrus
184,130,right_pt_planum_temporale
185,131,left_pt_planum_temporale
186,132,right_sca_subcallosal_area
187,133,left_sca_subcallosal_area
190,134,right_sfg_superior_frontal_gyrus
191,135,left_sfg_superior_frontal_gyrus
192,136,right_smc_supplementary_motor_cortex
193,137,left_smc_supplementary_motor_cortex
194,138,right_smg_supramarginal_gyrus
195,139,left_smg_supramarginal_gyrus
196,140,right_sog_superior_occipital_gyrus
197,141,left_sog_superior_occipital_gyrus
198,142,right_spl_superior_parietal_lobule
199,143,left_spl_superior_parietal_lobule
200,144,right_stg_superior_temporal_gyrus
201,145,left_stg_superior_temporal_gyrus
