Index,Code,Name
702,MUSE_702,ICV
701,MUSE_701,TotalBrain
601,MUSE_601,GM
604,MUSE_604,WM
606,MUSE_606,GM_L
607,MUSE_607,WM_L
613,MUSE_613,GM_R
614,MUSE_614,WM_R
501,MUSE_501,CorpusCallosum
502,MUSE_502,Cerebellum
503,MUSE_503,Deep_WM_GM
504,MUSE_504,Frontal
505,MUSE_505,Limbic
506,MUSE_506,Occipital
507,MUSE_507,Parietal
508,MUSE_508,Temporal
509,MUSE_509,Ventricles
510,MUSE_510,Cerebellum_L
511,MUSE_511,Deep_WM_GM_L
512,MUSE_512,Frontal_L
513,MUSE_513,Limbic_L
514,MUSE_514,Occipital_L
515,MUSE_515,Parietal_L
516,MUSE_516,Temporal_L
517,MUSE_517,Ventricles_L
518,MUSE_518,Cerebellum_R
519,MUSE_519,Deep_WM_GM_R
520,MUSE_520,Frontal_R
521,MUSE_521,Limbic_R
522,MUSE_522,Occipital_R
523,MUSE_523,Parietal_R
524,MUSE_524,Temporal_R
525,MUSE_525,Ventricle_R
401,MUSE_401,BasalGanglia
402,MUSE_402,Deep_GM
403,MUSE_403,Deep_WM
404,MUSE_404,Frontal_GM
405,MUSE_405,Frontal_WM
406,MUSE_406,Limbic_GM
407,MUSE_407,Occipital_GM
408,MUSE_408,Occipital_WM
409,MUSE_409,Parietal_GM
410,MUSE_410,Parietal_WM
411,MUSE_411,Temporal_GM
412,MUSE_412,Temporal_WM
413,MUSE_413,BasalGanglia_L
414,MUSE_414,Deep_GM_L
415,MUSE_415,Deep_WM_L
416,MUSE_416,Frontal_GM_L
417,MUSE_417,Frontal_WM_L
418,MUSE_418,Limbic_GM_L
419,MUSE_419,Occipital_GM_L
420,MUSE_420,Occipital_WM_L
421,MUSE_421,Parietal_GM_L
422,MUSE_422,Parietal_WM_L
423,MUSE_423,Temporal_GM_L
424,MUSE_424,Temporal_WM_L
425,MUSE_425,BasalGanglia_R
426,MUSE_426,Deep_GM_R
427,MUSE_427,Deep_WM_R
428,MUSE_428,Frontal_GM_R
429,MUSE_429,Frontal_WM_R
430,MUSE_430,Limbic_GM_R
431,MUSE_431,Occipital_GM_R
432,MUSE_432,Occipital_WM_R
433,MUSE_433,Parietal_GM_R
434,MUSE_434,Parietal_WM_R
435,MUSE_435,Temporal_GM_R
436,MUSE_436,Temporal_WM_R
301,MUSE_301,Frontal_Inferior_GM
302,MUSE_302,Frontal_Insular_GM
303,MUSE_303,Frontal_Lateral_GM
304,MUSE_304,Frontal_Medial_GM
305,MUSE_305,Frontal_Opercular_GM
306,MUSE_306,Limbic_Cingulate_GM
307,MUSE_307,Limbic_Medial_Temporal_GM
308,MUSE_308,Occipital_Inferior_GM
309,MUSE_309,Occipital_Lateral_GM
310,MUSE_310,Occipital_Medial_GM
311,MUSE_311,Parietal_Lateral_GM
312,MUSE_312,Parietal_Medial_GM
313,MUSE_313,Temporal_Inferior_GM
314,MUSE_314,Temporal_Lateral_GM
315,MUSE_315,Temporal_Supratemporal_GM
316,MUSE_316,Frontal_Inferior_GM_L
317,MUSE_317,Frontal_Insular_GM_L
318,MUSE_318,Frontal_Lateral_GM_L
319,MUSE_319,Frontal_Medial_GM_L
320,MUSE_320,Frontal_Opercular_GM_L
321,MUSE_321,Limbic_Cingulate_GM_L
322,MUSE_322,Limbic_MedialTemporal_GM_L
323,MUSE_323,Occipital_Inferior_GM_L
324,MUSE_324,Occipital_Lateral_GM_L
325,MUSE_325,Occipital_Medial_GM_L
326,MUSE_326,Parietal_Lateral_GM_L
327,MUSE_327,Parietal_Medial_GM_L
328,MUSE_328,Temporal_Inferior_GM_L
329,MUSE_329,Temporal_Lateral_GM_L
330,MUSE_330,Temporal_Supratemporal_GM_L
331,MUSE_331,Frontal_Inferior_GM_R
332,MUSE_332,Frontal_Insular_GM_R
333,MUSE_333,Frontal_Lateral_GM_R
334,MUSE_334,Frontal_Medial_GM_R
335,MUSE_335,Frontal_Opercular_GM_R
336,MUSE_336,Limbic_Cingulate_GM_R
337,MUSE_337,Limbic_MedialTemporal_GM_R
338,MUSE_338,Occipital_Inferior_GM_R
339,MUSE_339,Occipital_Lateral_GM_R
340,MUSE_340,Occipital_Medial_GM_R
341,MUSE_341,Parietal_Lateral_GM_R
342,MUSE_342,Parietal_Medial_GM_R
343,MUSE_343,Temporal_Inferior_GM_R
344,MUSE_344,Temporal_Lateral_GM_R
345,MUSE_345,Temporal_Supratemporal_GM_R
