Index,Code,Name
4,MUSE_4,3rdVentricle
11,MUSE_11,4thVentricle
23,MUSE_23,AccumbensArea_R
30,MUSE_30,AccumbensArea_L
31,MUSE_31,Amygdala_R
32,MUSE_32,Amygdala_L
35,MUSE_35,BrainStem
36,MUSE_36,Caudate_R
37,MUSE_37,Caudate_L
38,MUSE_38,CerebellumExterior_R
39,MUSE_39,CerebellumExterior_L
40,MUSE_40,Cerebellum_WM_R
41,MUSE_41,Cerebellum_WM_L
47,MUSE_47,Hippocampus_R
48,MUSE_48,Hippocampus_L
49,MUSE_49,InfLatVentricle_R
50,MUSE_50,InfLatVentricle_L
51,MUSE_51,LateralVentricle_R
52,MUSE_52,LateralVentricle_L
55,MUSE_55,Pallidum_R
56,MUSE_56,Pallidum_L
57,MUSE_57,Putamen_R
58,MUSE_58,Putamen_L
59,MUSE_59,ThalamusProper_R
60,MUSE_60,ThalamusProper_L
61,MUSE_61,VentralDC_R
62,MUSE_62,VentralDC_L
71,MUSE_71,CerebellarVermalLobules_1to5
72,MUSE_72,CerebellarVermalLobules_6to7
73,MUSE_73,CerebellarVermalLobules_8to10
75,MUSE_75,BasalForebrain_L
76,MUSE_76,BasalForebrain_R
81,MUSE_81,Frontal_WM_R
82,MUSE_82,Frontal_WM_L
83,MUSE_83,Occipital_WM_R
84,MUSE_84,Occipital_WM_L
85,MUSE_85,Parietal_WM_R
86,MUSE_86,Parietal_WM_L
87,MUSE_87,Temporal_WM_R
88,MUSE_88,Temporal_WM_L
89,MUSE_89,Fornix_R
90,MUSE_90,Fornix_L
91,MUSE_91,AnteriorLimbInternalCapsule_R
92,MUSE_92,AnteriorLimbInternalCapsule_L
93,MUSE_93,PosteriorLimbInternalCapsule_R
94,MUSE_94,PosteriorLimbInternalCapsule_L
95,MUSE_95,CorpusCallosum
100,MUSE_100,AnteriorCingulateGyrus_R
101,MUSE_101,AnteriorCingulateGyrus_L
102,MUSE_102,AnteriorInsula_R
103,MUSE_103,AnteriorInsula_L
104,MUSE_104,AnteriorOrbitalGyrus_R
105,MUSE_105,AnteriorOrbitalGyrus_L
106,MUSE_106,AngularGyrus_R
107,MUSE_107,AngularGyrus_L
108,MUSE_108,CalcarineCortex_R
109,MUSE_109,CalcarineCortex_L
112,MUSE_112,CentralOperculum_R
113,MUSE_113,CentralOperculum_L
114,MUSE_114,Cuneus_R
115,MUSE_115,Cuneus_L
116,MUSE_116,EntorhinalArea_R
117,MUSE_117,EntorhinalArea_L
118,MUSE_118,FrontalOperculum_R
119,MUSE_119,FrontalOperculum_L
120,MUSE_120,FrontalPole_R
121,MUSE_121,FrontalPole_L
122,MUSE_122,FusiformGyrus_R
123,MUSE_123,FusiformGyrus_L
124,MUSE_124,GyrusRectus_R
125,MUSE_125,GyrusRectus_L
128,MUSE_128,InferiorOccipitalGyrus_R
129,MUSE_129,InferiorOccipitalGyrus_L
132,MUSE_132,InferiorTemporalGyrus_R
133,MUSE_133,InferiorTemporalGyrus_L
134,MUSE_134,LingualGyrus_R
135,MUSE_135,LingualGyrus_L
136,MUSE_136,LateralOrbitalGyrus_R
137,MUSE_137,LateralOrbitalGyrus_L
138,MUSE_138,MiddleCingulateGyrus_R
139,MUSE_139,MiddleCingulateGyrus_L
140,MUSE_140,MedialFrontalCortex_R
141,MUSE_141,MedialFrontalCortex_L
142,MUSE_142,MiddleFrontalGyrus_R
143,MUSE_143,MiddleFrontalGyrus_L
144,MUSE_144,MiddleOccipitalGyrus_R
145,MUSE_145,MiddleOccipitalGyrus_L
146,MUSE_146,MedialOrbitalGyrus_R
147,MUSE_147,MedialOrbitalGyrus_L
148,MUSE_148,PostcentralGyrusMedialSegment_R
149,MUSE_149,PostcentralGyrusMedialSegment_L
150,MUSE_150,PrecentralGyrusMedialSegment_R
151,MUSE_151,PrecentralGyrusMedialSegment_L
152,MUSE_152,SuperiorFrontalGyrusMedialSegment_R
153,MUSE_153,SuperiorFrontalGyrusMedialSegment_L
154,MUSE_154,MiddleTemporalGyrus_R
155,MUSE_155,MiddleTemporalGyrus_L
156,MUSE_156,OccipitalPole_R
157,MUSE_157,OccipitalPole_L
160,MUSE_160,OccipitalFusiformGyrus_R
161,MUSE_161,OccipitalFusiformGyrus_L
162,MUSE_162,OpercularPartInferiorFrontalGyrus_R
163,MUSE_163,OpercularPartInferiorFrontalGyrus_L
164,MUSE_164,OrbitalPartInferiorFrontalGyrus_R
165,MUSE_165,OrbitalPartInferiorFrontalGyrus_L
166,MUSE_166,PosteriorCingulateGyrus_R
167,MUSE_167,PosteriorCingulateGyrus_L
168,MUSE_168,Precuneus_R
169,MUSE_169,Precuneus_L
170,MUSE_170,ParahippocampalGyrus_R
171,MUSE_171,ParahippocampalGyrus_L
172,MUSE_172,PosteriorInsula_R
173,MUSE_173,PosteriorInsula_L
174,MUSE_174,ParietalOperculum_R
175,MUSE_175,ParietalOperculum_L
176,MUSE_176,PostcentralGyrus_R
177,MUSE_177,PostcentralGyrus_L
178,MUSE_178,PosteriorOrbitalGyrus_R
179,MUSE_179,PosteriorOrbitalGyrus_L
180,MUSE_180,PlanumPolare_R
181,MUSE_181,PlanumPolare_L
182,MUSE_182,PrecentralGyrus_R
183,MUSE_183,PrecentralGyrus_L
184,MUSE_184,PlanumTemporale_R
185,MUSE_185,PlanumTemporale_L
186,MUSE_186,SubcallosalArea_R
187,MUSE_187,SubcallosalArea_L
190,MUSE_190,SuperiorFrontalGyrus_R
191,MUSE_191,SuperiorFrontalGyrus_L
192,MUSE_192,SupplementaryMotorCortex_R
193,MUSE_193,SupplementaryMotorCortex_L
194,MUSE_194,SupramarginalGyrus_R
195,MUSE_195,SupramarginalGyrus_L
196,MUSE_196,SuperiorOccipitalGyrus_R
197,MUSE_197,SuperiorOccipitalGyrus_L
198,MUSE_198,SuperiorParietalLobule_R
199,MUSE_199,SuperiorParietalLobule_L
200,MUSE_200,SuperiorTemporalGyrus_R
201,MUSE_201,SuperiorTemporalGyrus_L
202,MUSE_202,TemporalPole_R
203,MUSE_203,TemporalPole_L
204,MUSE_204,TriangularPartInferiorFrontalGyrus_R
205,MUSE_205,TriangularPartInferiorFrontalGyrus_L
206,MUSE_206,TransverseTemporalGyrus_R
207,MUSE_207,TransverseTemporalGyrus_L
