VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
TotalBrain,21,1122540.06673494,1207446.52878494,1266464.1197629,1325481.71074085,1410388.17279085
TotalBrain,22,1119905.03875013,1204781.98047907,1263779.05219157,1322776.12390407,1407653.06563301
TotalBrain,23,1117266.61388329,1202114.04579326,1261090.6055402,1320067.16528714,1404914.59719712
TotalBrain,24,1114623.31059581,1199441.24327177,1258397.29841064,1317353.3535495,1402171.28622546
TotalBrain,25,1111974.01906609,1196762.46320113,1255698.02116458,1314633.57912803,1399422.02326307
TotalBrain,26,1109318.91738995,1194077.88387312,1252992.95223002,1311908.02058693,1396666.9870701
TotalBrain,27,1106658.46240807,1191387.96234315,1250282.54881163,1309177.1352801,1393906.63521518
TotalBrain,28,1103993.17066032,1188693.21537241,1247567.32782442,1306441.44027642,1391141.48498852
TotalBrain,29,1101326.245771,1185996.8471172,1244850.49379447,1303704.14047174,1388374.74181794
TotalBrain,30,1098664.61004351,1183305.78084232,1242138.97065487,1300972.16046743,1385613.33126624
TotalBrain,31,1096015.45865288,1180627.21271447,1239439.9552616,1298252.69780873,1382864.45187031
TotalBrain,32,1093386.08855882,1177968.44070568,1236760.74629035,1295553.05187502,1380135.40402187
TotalBrain,33,1090784.83291576,1175337.79920602,1234109.67899007,1292881.55877413,1377434.52506439
TotalBrain,34,1088220.6296133,1172744.22747011,1231495.6935642,1290247.15965828,1374770.7575151
TotalBrain,35,1085702.42407604,1170196.67228731,1228927.7377507,1287658.80321408,1372153.05142535
TotalBrain,36,1083238.03598136,1167702.95446376,1226413.63314031,1285124.31181687,1369589.23029926
TotalBrain,37,1080831.19374072,1165266.80268776,1223957.10861379,1282647.41453983,1367083.02348687
TotalBrain,38,1078484.69662654,1162891.01631516,1221560.96358495,1280230.91085474,1364637.23054336
TotalBrain,39,1076201.24933244,1160578.30011696,1219227.90287858,1277877.50564021,1362254.55642472
TotalBrain,40,1073978.83564587,1158326.63766341,1216955.90991397,1275585.18216453,1359932.98418207
TotalBrain,41,1071808.62330812,1156127.19605392,1214736.15134435,1273345.10663478,1357663.67938059
TotalBrain,42,1069681.24865213,1153970.61094729,1212559.26235995,1271147.91377261,1355437.27606777
TotalBrain,43,1067587.40123986,1151847.57109469,1210415.93114834,1268984.29120199,1353244.46105681
TotalBrain,44,1065518.34387276,1149749.33700648,1208297.41662739,1266845.49624829,1351076.48938201
TotalBrain,45,1063465.68863419,1147667.51757579,1206195.32547273,1264723.13336968,1348924.96231128
TotalBrain,46,1061421.05256969,1145593.72664955,1204101.26930797,1262608.81196639,1346781.48604624
TotalBrain,47,1059377.43283762,1143520.95835164,1202008.24014776,1260495.52194389,1344639.04745791
TotalBrain,48,1057333.08842329,1141447.46924602,1199914.49287299,1258381.51649997,1342495.89732269
TotalBrain,49,1055287.53210545,1139372.76983842,1197819.53640946,1256266.30298051,1340351.54071348
TotalBrain,50,1053240.28058147,1137296.37457817,1195722.88364388,1254149.3927096,1338205.48670629
TotalBrain,51,1051191.06886716,1135218.01744675,1193624.26783881,1252030.51823088,1336057.46681047
TotalBrain,52,1049139.96088708,1133137.76315914,1191523.75425862,1249909.7453581,1333907.54763016
TotalBrain,53,1047087.04778019,1131055.70379438,1189421.4356358,1247787.16747723,1331755.82349142
TotalBrain,54,1045032.11159268,1128971.62234873,1187317.095627,1245662.56890527,1329602.07966132
TotalBrain,55,1042971.40981075,1126881.77738541,1185206.99354406,1243532.2097027,1327442.57727736
TotalBrain,56,1040898.95819843,1124780.18582557,1183085.14711242,1241390.10839926,1325271.3360264
TotalBrain,57,1038808.73658021,1122660.8286505,1180945.53811746,1239230.24758441,1323082.3396547
TotalBrain,58,1036694.02237091,1120516.98427405,1178781.44566743,1237045.9070608,1320868.86896394
TotalBrain,59,1034545.28333789,1118339.12083663,1176583.33816206,1234827.5554875,1318621.39298624
TotalBrain,60,1032352.28483679,1116117.00391037,1174340.98132398,1232564.95873759,1316329.67781117
TotalBrain,61,1030104.81466491,1113840.42150627,1172044.16331269,1230247.90511911,1313983.51196048
TotalBrain,62,1027794.06027515,1111500.56113603,1169684.07168078,1227867.58222552,1311574.0830864
TotalBrain,63,1025413.40973483,1109090.81068266,1167254.09418315,1225417.37768364,1309094.77863147
TotalBrain,64,1022956.44409893,1106604.75099583,1164747.81152676,1222890.87205769,1306539.17895459
TotalBrain,65,1020417.08137377,1104036.29994815,1162159.14149128,1220281.9830344,1303901.20160879
TotalBrain,66,1017793.31223287,1101383.44894163,1159486.07598507,1217588.70302851,1301178.83973727
TotalBrain,67,1015085.83070347,1098646.89330293,1156729.31123804,1214811.72917314,1298372.79177261
TotalBrain,68,1012295.37940417,1095827.3769586,1153889.59208583,1211951.80721306,1295483.80476749
TotalBrain,69,1009422.855812,1092925.79900141,1150967.81874433,1209009.83848726,1292512.78167666
TotalBrain,70,1006469.80729177,1089943.70970887,1147965.54351564,1205987.37732242,1289461.27973951
TotalBrain,71,1003437.95167268,1086882.83015947,1144884.4897368,1202886.14931412,1286331.02780091
TotalBrain,72,1000329.00141281,1083744.87604931,1141726.37535458,1199707.87465985,1283123.74929635
TotalBrain,73,997144.290481214,1080531.18410504,1138492.53901247,1196453.89391989,1279840.78754372
TotalBrain,74,993884.531674784,1077242.46909669,1135183.69685195,1193124.92460721,1276482.86202911
TotalBrain,75,990550.380113108,1073879.38804171,1131800.50720969,1189721.62637767,1273050.63430628
TotalBrain,76,987142.356746269,1070442.46365998,1128343.49403573,1186244.52441147,1269544.63132518
TotalBrain,77,983659.2615564,1066930.49609224,1124811.45758104,1182692.41906984,1265963.65360568
TotalBrain,78,980098.702551454,1063341.09239101,1121202.00423404,1179062.91607707,1262305.30591663
TotalBrain,79,976458.263857022,1059671.83570544,1117512.71646518,1175353.59722491,1258567.16907333
TotalBrain,80,972736.37653505,1055921.15592933,1113742.02335626,1171562.8907832,1254747.67017747
TotalBrain,81,968935.200958341,1052091.21141903,1109892.08186206,1167692.95230509,1250848.96276578
TotalBrain,82,965057.923650193,1048185.18645043,1105966.07469628,1163746.96294214,1246874.22574237
TotalBrain,83,961107.760006768,1044206.29418041,1101967.21345932,1159728.13273823,1242826.66691187
TotalBrain,84,957090.2313274,1040160.05407604,1097901.01634466,1155641.97861328,1238711.80136192
TotalBrain,85,953014.810019767,1036055.93740715,1093776.95383121,1151497.97025528,1234539.09764266
TotalBrain,86,948891.356595851,1031903.80361736,1089604.88462001,1147305.96562266,1230318.41264417
TotalBrain,87,944729.587392817,1027713.36800159,1085394.52328149,1143075.67856139,1226059.45917016
TotalBrain,88,940537.253958191,1023492.38140191,1081153.6201674,1138814.85893289,1221769.98637661
TotalBrain,89,936320.688099889,1019247.17516407,1076888.50630222,1134529.83744037,1217456.32450455
TotalBrain,90,932086.190082588,1014984.04909656,1072605.48117736,1130226.91325817,1213124.77227214
TotalBrain,91,927839.557590914,1010708.80042541,1068310.34170009,1125911.88297477,1208781.12580927
TotalBrain,92,923583.766267376,1006424.40602171,1064006.06559544,1121587.72516918,1204428.36492351
TotalBrain,93,919323.12119736,1002135.16539353,1059696.94849481,1117258.73159608,1200070.77579225
GM,21,665529.266339857,710958.061387658,742535.140210867,774112.219034076,819541.014081877
