VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
ICV,40,1214138.37753193,1334939.631191,1425560.50432554,1522021.70848147,1671763.33131687
ICV,41,1213430.95147913,1334113.40907307,1424718.76196647,1521232.45882109,1671195.23387022
ICV,42,1212782.13191814,1333365.31567079,1423963.29584021,1520532.21859706,1670708.70573716
ICV,43,1212099.6450254,1332594.43402199,1423186.46282272,1519805.90272418,1670176.42325969
ICV,44,1211291.23844795,1331697.71008883,1422277.85542027,1518935.94101137,1669470.96037823
ICV,45,1210264.81406517,1330570.94675569,1421125.54354258,1517803.41438276,1668465.02394399
ICV,46,1208928.67273416,1329110.37331725,1419618.03065827,1516289.84639963,1667031.81037744
ICV,47,1207220.23430058,1327243.56907995,1417677.14438881,1514312.48589953,1665084.61335931
ICV,48,1205186.11592527,1325015.64081396,1415349.69252031,1511922.66201036,1662687.37621302
ICV,49,1202898.73726892,1322499.50287597,1412712.06781126,1509203.46517629,1659939.81897081
ICV,50,1200430.29337986,1319767.94004755,1409840.55456379,1506237.8794193,1656941.57665352
ICV,51,1197859.22543943,1316903.4794988,1406822.47250283,1503120.05053869,1653801.11146551
ICV,52,1195273.45970626,1314003.3295302,1403761.75725891,1499960.92501659,1650640.11305485
ICV,53,1192760.99504648,1311165.12672708,1400762.89101093,1496871.98514645,1647580.52338614
ICV,54,1190406.57327346,1308483.29811564,1397927.02171952,1493961.09430923,1644739.91647598
ICV,55,1188265.72675239,1306024.54127315,1395326.64352187,1491304.48073324,1642195.37040242
ICV,56,1186375.56645078,1303837.99866149,1393016.10384247,1488958.33286989,1639998.20887875
ICV,57,1184772.86766338,1301972.34957369,1391049.25715404,1486978.31321676,1638199.0286729
ICV,58,1183487.59231321,1300468.72173734,1389471.8975018,1485411.46099865,1636838.73518039
ICV,59,1182522.45536243,1299338.44081286,1388298.02556568,1484270.77003996,1635920.27237562
ICV,60,1181873.591576,1298585.63221179,1387533.96717452,1483560.99877904,1635437.25017074
ICV,61,1181537.0120499,1298214.31689028,1387185.94985587,1483286.78062688,1635382.97827218
ICV,62,1181485.97339646,1298203.19438296,1387233.07249763,1483423.82043621,1635719.32076729
ICV,63,1181657.75855376,1298490.94238116,1387611.54465509,1483902.0930374,1636358.55694584
ICV,64,1181986.41404322,1299012.86428228,1388253.98369566,1484647.71350426,1637208.79879258
ICV,65,1182406.90015167,1299705.21645221,1389093.977557,1485587.89702122,1638179.9860739
ICV,66,1182867.90967266,1300515.42479296,1390076.14027768,1486662.67519746,1639202.23410062
ICV,67,1183327.14177115,1301398.2750494,1391152.34673329,1487820.53826727,1640219.1667056
ICV,68,1183742.11524069,1302308.56117967,1392274.48166632,1489010.015268,1641174.90221336
ICV,69,1184071.51880155,1303201.90905539,1393395.17401701,1490180.6181137,1642015.9544279
ICV,70,1184280.14905714,1304037.90383721,1394470.64200369,1491286.41625933,1642698.03395608
ICV,71,1184334.34365705,1304777.10151236,1395457.95352912,1492282.59626542,1643179.3348336
ICV,72,1184200.43085119,1305380.03109485,1396314.11938775,1493124.308349,1643418.18653601
ICV,73,1183847.33947479,1305810.47924114,1396999.6977362,1493770.41772524,1643376.57707784
ICV,74,1183248.28973276,1306037.65165314,1397481.17033614,1494185.97814625,1643022.48792224
ICV,75,1182377.01955924,1306031.32172563,1397725.60593,1494336.67865246,1642324.58594836
ICV,76,1181207.16939895,1305761.08986332,1397699.8568537,1494187.99072213,1641251.28928356
ICV,77,1179708.81505103,1305192.99639061,1397367.02676138,1493701.29263874,1639765.97300996
ICV,78,1177849.72361711,1304290.74570129,1396687.74462006,1492835.26678441,1637828.69178246
ICV,79,1175598.06133736,1303018.33336784,1395622.90155329,1491548.89873661,1635399.84514797
ICV,80,1172927.95692402,1301345.79591557,1394139.72880167,1489808.04724898,1632447.73538711
ICV,81,1169837.9361684,1299268.30211973,1392231.99238345,1487607.26668324,1628973.6325466
ICV,82,1166333.68253455,1296788.21635986,1389901.03484559,1484949.28924279,1624987.90986992
ICV,83,1162421.68912467,1293908.50511171,1387148.80959374,1481837.48134387,1620501.2643653
ICV,84,1158122.96388737,1290648.89600388,1383995.38072196,1478294.37323426,1615544.19562764
ICV,85,1153482.49874338,1287057.28131567,1380491.30754045,1474374.76344939,1610180.77644041
ICV,86,1148547.37119491,1283184.08651135,1376689.92436989,1470136.34800925,1604477.73159247
ICV,87,1143364.09039681,1279079.22110316,1372644.05460188,1465636.2271156,1598500.71498159
ICV,88,1137976.09199696,1274789.91500087,1368403.80225891,1460928.44872794,1592311.19855255
ICV,89,1132424.37073019,1270361.2919068,1364017.13615858,1456064.66616755,1585967.38495575
