VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
TotalBrain,40,1202717.00166345,1300942.53501555,1369218.07271906,1437493.61042257,1535719.14377467
TotalBrain,41,1199499.56109594,1298147.3380737,1366716.37289145,1435285.4077092,1533933.18468696
TotalBrain,42,1196293.66717023,1295339.58659698,1364185.36605392,1433031.14551086,1532077.0649376
TotalBrain,43,1193101.31204794,1292518.00927651,1361621.5124935,1430725.01571049,1530141.71293906
TotalBrain,44,1189924.54305039,1289681.58026559,1359021.65023662,1428361.72020765,1528118.75742285
TotalBrain,45,1186765.45349962,1286829.6913293,1356383.29322448,1425936.89511966,1526001.13294934
TotalBrain,46,1183626.13547964,1283961.77511959,1353704.02556568,1423446.27601177,1523781.91565172
TotalBrain,47,1180508.56913676,1281077.41866001,1350981.77084926,1420886.12303851,1521454.97256175
TotalBrain,48,1177413.76474164,1278177.80809538,1348217.83746834,1418257.86684131,1519021.91019505
TotalBrain,49,1174342.11425266,1275265.02263891,1345415.47742924,1415565.93221957,1516488.84060582
TotalBrain,50,1171293.91461922,1272341.11645212,1342577.9663132,1412814.81617428,1513862.01800717
TotalBrain,51,1168269.81671031,1269408.42852344,1339708.81650275,1410009.20448206,1511147.81629519
TotalBrain,52,1165271.54842158,1266470.10908289,1336812.16687763,1407154.22467236,1508352.78533368
TotalBrain,53,1162300.96733812,1263529.42196395,1333892.25873979,1404255.09551563,1505483.55014145
TotalBrain,54,1159360.03534664,1260589.65075941,1330953.29438607,1401316.93801273,1502546.5534255
TotalBrain,55,1156453.27467693,1257654.74015725,1327998.8170612,1398342.89396515,1499544.35944547
TotalBrain,56,1153587.33046216,1254729.18154064,1325031.82109932,1395334.46065799,1496476.31173648
TotalBrain,57,1150768.85762848,1251817.46042954,1322055.28408889,1392293.10774823,1493341.71054929
TotalBrain,58,1148004.29107275,1248923.6876035,1319071.70133992,1389219.71507634,1490139.11160709
TotalBrain,59,1145299.37359711,1246050.55198114,1316081.63904864,1386112.72611613,1486863.90450017
TotalBrain,60,1142659.58631667,1243200.35065853,1313085.18113286,1382970.01160719,1483510.77594904
TotalBrain,61,1140090.15858608,1240375.23448961,1310082.33861301,1379789.4427364,1480074.51863993
TotalBrain,62,1137592.2803431,1237574.28825084,1307070.73298999,1376567.17772913,1476549.18563687
TotalBrain,63,1135162.32544618,1234792.92930524,1304045.11677689,1373297.30424853,1472927.90810759
