VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
TotalBrain,40,1100297.24086598,1206793.61662263,1285631.54738267,1368599.64225638,1495539.14216254
TotalBrain,41,1098067.151988,1204164.70161139,1282828.86785366,1365724.58811221,1492769.56212635
TotalBrain,42,1095822.23682485,1201540.01844371,1280033.19273267,1362849.71014321,1489971.77756125
TotalBrain,43,1093557.18262461,1198918.38031195,1277244.20211931,1359973.41879786,1487137.61299529
TotalBrain,44,1091272.58736108,1196299.73100786,1274461.63035809,1357095.30894308,1484266.27179112
TotalBrain,45,1088972.55888926,1193684.69459504,1271685.24535847,1354215.70166008,1481361.53796503
TotalBrain,46,1086661.17240849,1191073.89819755,1268914.81740122,1351334.93569147,1478427.34797117
TotalBrain,47,1084344.35629919,1188468.38484674,1266150.23041274,1348453.89206703,1475470.40648069
TotalBrain,48,1082035.26732121,1185870.79352311,1263391.79431393,1345575.49689355,1472507.76828685
TotalBrain,49,1079748.6278933,1183284.12183487,1260639.91730955,1342703.15540022,1469558.99750964
TotalBrain,50,1077498.87423274,1180711.32491835,1257895.00481992,1339840.24941356,1466643.62364439
TotalBrain,51,1075295.96585191,1178154.55404321,1255157.50643495,1336989.41313632,1463775.96899768
TotalBrain,52,1073143.2959233,1175614.7730918,1252427.93957749,1334152.16239817,1460962.47545427
TotalBrain,53,1071043.58834513,1173092.83178481,1249706.82298372,1331329.91845129,1458209.04391218
TotalBrain,54,1068998.70653499,1170589.4197251,1246994.65701929,1328523.94172456,1455520.75894009
TotalBrain,55,1067002.374007,1168103.60439073,1244291.78129038,1325733.66589889,1452891.78155192
TotalBrain,56,1065043.35801344,1165633.44536114,1241598.4331318,1322957.36012172,1450309.16971556
TotalBrain,57,1063110.62518462,1163177.01475741,1238914.84608898,1320193.26875286,1447759.67081032
TotalBrain,58,1061192.9205383,1160732.27150901,1236241.18754481,1317439.44066689,1445228.95155701
TotalBrain,59,1059277.19950308,1158296.63012177,1233577.36786137,1314693.16787008,1442699.05607781
TotalBrain,60,1057350.2935193,1155867.40566816,1230923.23429918,1311951.54768121,1440150.8289721
TotalBrain,61,1055399.42707649,1153441.95803175,1228278.63339513,1309211.67093516,1437564.77273708
TotalBrain,62,1053412.30135874,1151017.64350292,1225643.29563094,1306470.50568966,1434921.15414337
TotalBrain,63,1051377.09044967,1148591.78288253,1223016.76974268,1303724.83612875,1432200.15632679
TotalBrain,64,1049282.13488872,1146161.71841206,1220398.59209057,1300971.45274873,1429382.0366782
TotalBrain,65,1047116.21122352,1143724.88548995,1217788.30072301,1298207.27373421,1426447.98080973
TotalBrain,66,1044872.86117511,1141279.6284871,1215185.411723,1295430.36513817,1423387.30153368
TotalBrain,67,1042548.59268238,1138824.87902175,1212589.42810527,1292639.5742646,1420195.04988943
TotalBrain,68,1040139.62721456,1136359.55923163,1209999.85670428,1289833.81642839,1416867.1616964
TotalBrain,69,1037642.56223033,1133882.70419023,1207416.21039964,1287012.27029577,1413401.71953311
TotalBrain,70,1035056.80392765,1131393.89661984,1204838.01426626,1284175.02576783,1409803.00575775
TotalBrain,71,1032382.1918947,1128892.84111683,1202264.79947802,1281322.43784893,1406077.34859713
TotalBrain,72,1029618.15638364,1126379.21454075,1199696.10206223,1278454.89616733,1402231.59401654
TotalBrain,73,1026763.65864415,1123852.70611452,1197131.52664739,1275572.86231969,1398272.91366939
TotalBrain,74,1023817.13930909,1121313.04250647,1194570.78714693,1272676.89276162,1394208.65846914
TotalBrain,75,1020776.58588828,1118759.92764722,1192013.60970763,1269767.57081365,1390046.41295176
TotalBrain,76,1017639.66104233,1116193.06984736,1189459.72979726,1266845.52540703,1385794.0836861
TotalBrain,77,1014405.38919524,1113612.57755378,1186908.97470147,1263911.771863,1381461.69591573
TotalBrain,78,1011073.68530551,1111018.83471372,1184361.23508457,1260967.57778962,1377060.48102
TotalBrain,79,1007644.15818031,1108412.21533808,1181816.4037912,1258014.19640048,1372601.30159204
TotalBrain,80,1004116.91240718,1105793.25949541,1179274.41449776,1255053.02553138,1368095.40353467
TotalBrain,81,1000495.47057553,1103163.29225456,1176735.37678682,1252086.16703373,1363557.11412255
TotalBrain,82,996784.468308463,1100523.87209358,1174199.44744869,1249115.85639207,1359000.74840472
TotalBrain,83,992988.78832093,1097876.5817168,1171666.78263687,1246144.24663552,1354439.48307511
TotalBrain,84,989112.288069344,1095222.86384502,1169137.5933537,1243173.21674882,1349884.04941161
TotalBrain,85,985156.701196473,1092563.89201196,1166612.18485368,1240204.25016008,1345342.01105472
