VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
DL_MUSE_Volume_702,40,1214138.37753193,1334939.631191,1425560.50432554,1522021.70848147,1671763.33131687
DL_MUSE_Volume_702,41,1213430.95147913,1334113.40907307,1424718.76196647,1521232.45882109,1671195.23387022
DL_MUSE_Volume_702,42,1212782.13191814,1333365.31567079,1423963.29584021,1520532.21859706,1670708.70573716
DL_MUSE_Volume_702,43,1212099.6450254,1332594.43402199,1423186.46282272,1519805.90272418,1670176.42325969
DL_MUSE_Volume_702,44,1211291.23844795,1331697.71008883,1422277.85542027,1518935.94101137,1669470.96037823
DL_MUSE_Volume_702,45,1210264.81406517,1330570.94675569,1421125.54354258,1517803.41438276,1668465.02394399
DL_MUSE_Volume_702,46,1208928.67273416,1329110.37331725,1419618.03065827,1516289.84639963,1667031.81037744
DL_MUSE_Volume_702,47,1207220.23430058,1327243.56907995,1417677.14438881,1514312.48589953,1665084.61335931
DL_MUSE_Volume_702,48,1205186.11592527,1325015.64081396,1415349.69252031,1511922.66201036,1662687.37621302
DL_MUSE_Volume_702,49,1202898.73726892,1322499.50287597,1412712.06781126,1509203.46517629,1659939.81897081
DL_MUSE_Volume_702,50,1200430.29337986,1319767.94004755,1409840.55456379,1506237.8794193,1656941.57665352
DL_MUSE_Volume_702,51,1197859.22543943,1316903.4794988,1406822.47250283,1503120.05053869,1653801.11146551
DL_MUSE_Volume_702,52,1195273.45970626,1314003.3295302,1403761.75725891,1499960.92501659,1650640.11305485
DL_MUSE_Volume_702,53,1192760.99504648,1311165.12672708,1400762.89101093,1496871.98514645,1647580.52338614
DL_MUSE_Volume_702,54,1190406.57327346,1308483.29811564,1397927.02171952,1493961.09430923,1644739.91647598
DL_MUSE_Volume_702,55,1188265.72675239,1306024.54127315,1395326.64352187,1491304.48073324,1642195.37040242
DL_MUSE_Volume_702,56,1186375.56645078,1303837.99866149,1393016.10384247,1488958.33286989,1639998.20887875
DL_MUSE_Volume_702,57,1184772.86766338,1301972.34957369,1391049.25715404,1486978.31321676,1638199.0286729
DL_MUSE_Volume_702,58,1183487.59231321,1300468.72173734,1389471.8975018,1485411.46099865,1636838.73518039
DL_MUSE_Volume_702,59,1182522.45536243,1299338.44081286,1388298.02556568,1484270.77003996,1635920.27237562
DL_MUSE_Volume_702,60,1181873.591576,1298585.63221179,1387533.96717452,1483560.99877904,1635437.25017074
DL_MUSE_Volume_702,61,1181537.0120499,1298214.31689028,1387185.94985587,1483286.78062688,1635382.97827218
