,Unnamed: 0,ROI_Name,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
0,0,CortCSF,54.6,153466.053242692,162106.28622303,178512.535221103,200311.928813713,227023.96034248,256671.141928606,277705.619007998
1,1,CortCSF,55.6,155249.021408213,164095.415425366,180818.418261318,202877.930149787,229644.648398567,258999.054806918,279595.951989405
2,2,CortCSF,56.6,157052.282194814,166111.830108935,183161.255605931,205490.139085461,232326.079351892,261422.120134544,281626.339094844
3,3,CortCSF,57.6,158880.65807396,168161.435039733,185549.677584535,208162.437296222,235090.987455547,263974.560220665,283838.585401672
4,4,CortCSF,58.6,160741.269505762,170252.680574483,187995.477333706,210912.900608013,237967.652209204,266697.496154775,286282.282807269
5,5,CortCSF,59.6,162643.223653044,172396.071495324,190512.405812877,213760.9596918,240984.153599496,269629.079498083,289001.584538082
6,6,CortCSF,60.6,164599.580265912,174605.717836659,193116.911248329,216727.151797981,244167.283765121,272803.194211418,292034.298185558
7,7,CortCSF,61.6,166638.370138946,176908.266095473,195833.027819926,219832.719516007,247536.127568879,276237.226733838,295396.137334301
8,8,CortCSF,62.6,168791.416662888,179331.710488976,198681.330703945,223089.191003342,251093.1635473,279925.786653768,299076.804640393
9,9,CortCSF,63.6,171086.067371641,181894.947149074,201664.44114087,226478.833405023,254799.18439263,283810.360779195,303006.414795453
10,10,CortCSF,64.6,173521.617523563,184590.095725127,204759.964608746,229960.623029415,258593.761944941,287814.23127542,307099.763528071
11,11,CortCSF,65.6,176048.318495449,187365.052613626,207908.646645301,233464.178286227,262394.587527472,291846.584246287,311263.404219169
12,12,CortCSF,66.6,178593.356138849,190152.661322692,211047.756630127,236926.197450695,266135.334626523,295840.475343865,315433.323718751
13,13,CortCSF,67.6,181065.677579899,192876.887548093,214118.430558314,240298.237398613,269774.127279166,299763.559157824,319588.593757239
14,14,CortCSF,68.6,183401.375331954,195495.902410196,217104.286158521,243581.447035317,273328.590290354,303660.704118866,323803.954387254
15,15,CortCSF,69.6,185552.674237824,197990.617042661,220016.927268608,246806.635676507,276849.662948945,307623.242083993,328218.333938491
16,16,CortCSF,70.6,187528.256490064,200386.307984189,222891.527218169,250005.506277103,280366.181862482,311698.397243767,332913.90588923
17,17,CortCSF,71.6,189396.05849492,202746.557075468,225776.966254877,253206.43261037,283885.37077414,315878.893517919,337884.551289085
18,18,CortCSF,72.6,191332.327772652,205194.383361917,228733.548741555,256425.123936752,287374.805490518,320047.755872039,342926.277531276
19,19,CortCSF,73.6,193580.244065092,207869.117178309,231799.928770806,259651.385153214,290771.323959589,323999.953913565,347650.971979284
20,20,CortCSF,74.6,196317.928826705,210835.186278278,234946.912541147,262832.389529087,293999.535039442,327532.914644255,351656.068192135
21,21,CortCSF,75.6,199604.587134548,214070.098325162,238095.8591298,265893.175914292,296992.293936836,330504.554369985,354652.26221168
22,22,CortCSF,76.6,203276.013165866,217415.623162823,241113.124831882,268743.413882751,299712.496740918,332923.201492551,356664.101834016
23,23,CortCSF,77.6,206998.198838758,220644.994142905,243879.25398428,271329.876250735,302182.393998276,334968.025926074,358064.693302114
24,24,CortCSF,78.6,210396.694303876,223527.32654731,246300.670790331,273630.888520452,304461.163558401,336897.879037207,359373.591764295
25,25,CortCSF,79.6,213236.650367323,225934.545217323,248351.195581205,275668.274436602,306623.965389894,338936.156191964,361008.704418262
26,26,CortCSF,80.6,215431.565410358,227830.115275589,250045.241422275,277480.788714147,308735.354327373,341219.893202428,363197.755105897
27,27,CortCSF,81.6,216998.990440987,229237.78151414,251416.944208311,279109.224320738,310840.962359704,343805.212040478,366006.322122979
28,28,CortCSF,82.6,218031.468900828,230227.227495833,252516.978394577,280596.567405263,312971.627649082,346686.564676748,369380.839841355
29,29,CortCSF,83.6,218641.693805997,230883.050538805,253403.482413188,281988.146033237,315155.943035932,349847.526433532,373248.53557035
30,30,CortCSF,84.6,218935.831942691,231287.792826519,254134.286939399,283327.349849859,317421.421390733,353280.782990109,377560.975389684
31,31,CortCSF,85.6,219012.869382322,231520.647263176,254765.069263428,284653.27888413,319792.324325371,356987.973664387,382296.119139692
32,32,CortCSF,86.6,218944.419903831,231637.52463213,255331.154244335,285984.830067082,322274.409276319,360961.491536696,387435.455215872
33,33,CortCSF,87.6,218783.86434461,231678.672990764,255853.878564639,287326.384143391,324858.846612315,365183.736247728,392957.934282569
34,34,CortCSF,88.6,218569.304707008,231672.868952597,256346.794996319,288674.470104179,327524.332358042,369616.738963678,398816.029654572
35,35,CortCSF,89.6,218328.13843423,231641.179622707,256819.657162178,290024.513942531,330249.4830559,374222.27279157,404961.710412794
36,36,GM_L_PercICV,54.6,20.3279417141015,20.9769906412577,21.9644717395808,22.9606549067574,23.8210923005683,24.4669267946782,24.8095117372631
37,37,GM_L_PercICV,55.6,20.2678102582774,20.908100677404,21.874590534444,22.8385855376579,23.6788679318171,24.32672430014,24.676458325736
38,38,GM_L_PercICV,56.6,20.2055679092139,20.8377981279633,21.7843900991046,22.7170553164421,23.5372484173392,24.1870779119555,24.5440796190449
39,39,GM_L_PercICV,57.6,20.1407272931003,20.7654601661977,21.6932909550531,22.5959112380857,23.3964480164177,24.0481996340592,24.4124966095511
40,40,GM_L_PercICV,58.6,20.0725449433869,20.6901717252315,21.6004672561816,22.4749297557235,23.2567733412671,23.9104091694948,24.2818924628897
41,41,GM_L_PercICV,59.6,20.0001378287819,20.6109093433142,21.5050144610268,22.353813001715,23.1184896348931,23.7740245560511,24.1524569220211
42,42,GM_L_PercICV,60.6,19.9227205895414,20.526738710725,21.4060791727155,22.2322317948697,22.9817894817566,23.6393013978281,24.0243197761952
43,43,GM_L_PercICV,61.6,19.8402329096508,20.4373326000274,21.3031715274129,22.1098751380721,22.8466149134549,23.5061440170261,23.8972321110924
44,44,GM_L_PercICV,62.6,19.7532646490449,20.3429688410783,21.1962331391515,21.9865475359426,22.7127586535537,23.3742241292206,23.7707088754314
45,45,GM_L_PercICV,63.6,19.6636194865885,20.245092544529,21.0860785122055,21.8623428023937,22.579793524623,23.2428346877796,23.6439007871617
46,46,GM_L_PercICV,64.6,19.5726130042169,20.14491730485,20.9735633012777,21.7375357046628,22.4475618438392,23.1116707639036,23.5164671609522
47,47,GM_L_PercICV,65.6,19.480578530995,20.0430432184291,20.8593928471335,21.6126001383847,22.316385942085,22.9811852447795,23.3890080251281
48,48,GM_L_PercICV,66.6,19.3867954064774,19.9392072293068,20.7437419083407,21.4878626257098,22.186768329433,22.8522292639435,23.2626294649577
49,49,GM_L_PercICV,67.6,19.289877179316,19.8325799214412,20.6264020426061,21.3634758186288,22.0592282246149,22.7258277019045,23.1387048453465
50,50,GM_L_PercICV,68.6,19.1900975373818,19.7237955945357,20.5080200228296,21.2393843863277,21.9331318359364,22.6015107986735,23.0171196580583
51,51,GM_L_PercICV,69.6,19.0888462416176,19.6144417876998,20.3898060632501,21.1154661056857,21.8071807912277,22.4778602174381,22.8967595882149
52,52,GM_L_PercICV,70.6,18.988826705142,19.5070616202492,20.2734996357319,20.9918262400413,21.6799804310487,22.3529661327228,22.7757625418508
53,53,GM_L_PercICV,71.6,18.8927899679013,19.4041947427723,20.1608481193205,20.8687029215203,21.5503242063371,22.2250037776269,22.6522513355141
54,54,GM_L_PercICV,72.6,18.8026506642803,19.3076389168526,20.0531811752486,20.7465097691044,21.4176770167625,22.0929585050259,22.5251417954327
55,55,GM_L_PercICV,73.6,18.719226174519,19.2179567220176,19.9508740305852,20.6257222616345,21.2824892492127,21.9569238959644,22.3942528543244
56,56,GM_L_PercICV,74.6,18.64177300865,19.1338849088424,19.8528474649174,20.5068671783142,21.146707353441,21.8187409135694,22.2608272222167
57,57,GM_L_PercICV,75.6,18.5685251306242,19.0530439739073,19.7571543215779,20.3903907874603,21.0130248039843,21.681265293027,22.1269898413885
58,58,GM_L_PercICV,76.6,18.4969388399628,18.9722836449786,19.6612911454613,20.2766360481725,20.8845680885733,21.5480963539116,21.9956003227758
59,59,GM_L_PercICV,77.6,18.4250537331404,18.8896385875997,19.5639102166787,20.1657438821732,20.7630267387625,21.4215464772221,21.8688457209372
60,60,GM_L_PercICV,78.6,18.3515118528491,18.804074283673,19.4644661055048,20.0577147843292,20.6490603288413,21.3028820929954,21.748250892281
61,61,GM_L_PercICV,79.6,18.2755528035689,18.715195769856,19.3628293504569,19.9524230001397,20.5426735848927,21.1925479214879,21.634623303669
62,62,GM_L_PercICV,80.6,18.1965366277271,18.622739715307,19.2589308164806,19.849667625269,20.4436594083525,21.0907255901669,21.5285638985201
63,63,GM_L_PercICV,81.6,18.1134302170291,18.5261063459907,19.1524614301424,19.7491432860432,20.3518450124863,20.9977500844842,21.4309317096333
64,64,GM_L_PercICV,82.6,18.0253712366968,18.4248434155731,19.0431745970259,19.6504374141025,20.2667865871347,20.913622735789,21.3422754603261
65,65,GM_L_PercICV,83.6,17.9318654198648,18.3188465601461,18.9310364101853,19.5529820437433,20.1875117910529,20.8376814827003,21.2624922704099
66,66,GM_L_PercICV,84.6,17.8332021011474,18.2085826856319,18.8163380972394,19.4563069138946,20.1129041976564,20.7688434158767,21.1908380441445
67,67,GM_L_PercICV,85.6,17.7304842270663,18.0951296842444,18.6997422634373,19.3600806912074,20.0417245578437,20.7055954142707,21.1258877633389
68,68,GM_L_PercICV,86.6,17.6248109316513,17.9794685063789,18.5818541231307,19.2641822741339,19.9732009287769,20.6468987118305,21.066564205359
69,69,GM_L_PercICV,87.6,17.5173183702641,17.8625573810424,18.4632671460367,19.1686303171946,19.9068421348413,20.5919708937219,21.0119469052451
70,70,GM_L_PercICV,88.6,17.4093942604961,17.7455382647782,18.3446795799226,19.0734987312869,19.8421348181703,20.5398541042916,20.9608014505013
71,71,GM_L_PercICV,89.6,17.3022372450081,17.6294165128761,18.2267322323863,18.9788586739181,19.7785921088109,20.4896461214248,20.9119633362198
72,72,WM_L_PercICV,54.6,16.3202663597377,16.5796870921815,17.014418311714,17.5021838115364,17.9392004968809,18.2579870785611,18.4230086290142
73,73,WM_L_PercICV,55.6,16.3156381997559,16.5623933733999,16.9895247118914,17.488233385756,17.9538302450999,18.3058788974007,18.4922574691713
74,74,WM_L_PercICV,56.6,16.3079625834534,16.5438865577357,16.964225402052,17.4741139686404,17.9710120898404,18.3619593925135,18.574377500851
75,75,WM_L_PercICV,57.6,16.2936916427054,16.521618123737,16.9375619565419,17.459587288878,17.9900421438403,18.4251288092972,18.668394283908
76,76,WM_L_PercICV,58.6,16.2686824623202,16.4925333773847,16.9083350030732,17.4443267039903,18.0091722724356,18.491066598023,18.7683045822764
77,77,WM_L_PercICV,59.6,16.2324426543584,16.4561491465734,16.8764206254943,17.4280707402874,18.0259185278508,18.5531904212221,18.8642949524227
78,78,WM_L_PercICV,60.6,16.1864096293132,16.4135418240996,16.8424935247563,17.4106036805641,18.0372075139331,18.6031106076632,18.9433175632611
79,79,WM_L_PercICV,61.6,16.1347750204921,16.3679674099225,16.8083063748109,17.3917564386359,18.0398422876305,18.6328418725846,18.9931067833335
80,80,WM_L_PercICV,62.6,16.0810507968507,16.3223453505482,16.7755694592311,17.3713855108327,18.0309116460399,18.6355112278269,19.0033731280441
81,81,WM_L_PercICV,63.6,16.0235604860455,16.2759816083121,16.7445049562297,17.3493796615311,18.0082272656592,18.605391478299,18.9654452975715
82,82,WM_L_PercICV,64.6,15.9602681590219,16.2278936433882,16.7150049923845,17.3257372343661,17.9721439250106,18.5444805838995,18.8833826462784
83,83,WM_L_PercICV,65.6,15.8908812051836,16.1781061527797,16.6869199548028,17.3006270780471,17.9262974522707,18.4638363323749,18.7751580770434
84,84,WM_L_PercICV,66.6,15.8227050873664,16.1312343522538,16.661200978051,17.2743753336999,17.8763808137258,18.3792637262868,18.6648624653144
85,85,WM_L_PercICV,67.6,15.7725040573382,16.096722902332,16.6395862501041,17.2474367080786,17.8285873735745,18.305919432103,18.5739778987248
86,86,WM_L_PercICV,68.6,15.7503318015625,16.0786232527146,16.6215962724819,17.2202179688312,17.7873322304804,18.2522286982374,18.5130132557346
87,87,WM_L_PercICV,69.6,15.7555037661235,16.0747973244146,16.6052706571991,17.1930208537525,17.7555581813516,18.2232391592419,18.4880986234314
88,88,WM_L_PercICV,70.6,15.7739866082125,16.0769451372585,16.5882556586001,17.1657579584586,17.7321684743137,18.2157670700947,18.4947006938837
89,89,WM_L_PercICV,71.6,15.789243125228,16.075748391484,16.5683099320213,17.1380068630458,17.7139995639426,18.222371192239,18.522618600354
90,90,WM_L_PercICV,72.6,15.7857267080643,16.0621478086675,16.5432146525987,17.1087415753108,17.6943089303641,18.2261048101272,18.5469006147566
91,91,WM_L_PercICV,73.6,15.7582756521164,16.0329788926654,16.5122168237384,17.0772922328089,17.6681683520561,18.2132713022166,18.5459904260305
92,92,WM_L_PercICV,74.6,15.7142796765071,15.9929282206993,16.4768996231673,17.043805531564,17.6361180181272,18.1854537120593,18.5220196764044
93,93,WM_L_PercICV,75.6,15.6614957151789,15.9470010180395,16.4391251008947,17.0092749070704,17.6016413672037,18.1513518711211,18.4881628110343
94,94,WM_L_PercICV,76.6,15.6078856304857,15.9001991682966,16.4008304822947,16.9754357107058,17.5702321228526,18.1236069578523,18.4631833862065
95,95,WM_L_PercICV,77.6,15.5567842976112,15.854822164276,16.363355753757,16.9437051346542,17.5446516333836,18.1074240673173,18.4543627144601
96,96,WM_L_PercICV,78.6,15.5084534293155,15.8115209838915,16.3277633295064,16.915141932412,17.5253918033578,18.1023630575879,18.4605328347422
97,97,WM_L_PercICV,79.6,15.4638589582499,15.7719045110966,16.295753596716,16.8899866410903,17.5094299407129,18.1007831837237,18.4704751389356
98,98,WM_L_PercICV,80.6,15.424050563357,15.737617928502,16.2689117242225,16.8681280885057,17.4930271915822,18.0936616212982,18.4709469894953
99,99,WM_L_PercICV,81.6,15.3901723215282,15.7096161635972,16.2476897358835,16.849247013317,17.4748328602857,18.0783099118903,18.4582108720645
100,100,WM_L_PercICV,82.6,15.3644709691191,15.6892361325384,16.2323269489876,16.8331144337898,17.4550215602254,18.0560672066525,18.4347190154
101,101,WM_L_PercICV,83.6,15.3508941452034,15.6785512195524,16.2230197532093,16.8197325672768,17.4354451782037,18.032487432873,18.4093252417679
102,102,WM_L_PercICV,84.6,15.3488515202502,15.6768699522518,16.2191801101304,16.8089675716972,17.4166849862375,18.0090315223063,18.3841493093505
103,103,WM_L_PercICV,85.6,15.3525701815316,15.6804396516991,16.2193886629226,16.8004981409823,17.3979094179714,17.9827413543829,18.3540700983334
104,104,WM_L_PercICV,86.6,15.3563423990908,15.6852472168121,16.2217502035478,16.7938483673596,17.3791954329081,17.9533102195111,18.3180621426854
105,105,WM_L_PercICV,87.6,15.3554023465565,15.6877367206194,16.2243249906976,16.7884577013818,17.3611637025043,17.9223046561313,18.2781900072569
106,106,WM_L_PercICV,88.6,15.3494751656004,15.6873877866764,16.2263888156889,16.7838273983118,17.3441989689694,17.8916769363535,18.2377769492251
107,107,WM_L_PercICV,89.6,15.3399365202885,15.684845514246,16.2277731261899,16.779541235669,17.3283796228042,17.8627575402155,18.1993461139297
108,108,GM_R_PercICV,54.6,20.1805833669698,20.7800510859272,21.7660427217529,22.8511415620229,23.8032279456574,24.4836908866793,24.8315620143756
109,109,GM_R_PercICV,55.6,20.1850851483911,20.7761602513468,21.7330776917432,22.767134989146,23.6827475551353,24.3589574358012,24.7128486098702
110,110,GM_R_PercICV,56.6,20.1845337286451,20.768160710941,21.6979633102588,22.6829601344929,23.5627271742905,24.2347247124612,24.5947021290798
111,111,GM_R_PercICV,57.6,20.1782664741022,20.7549865115691,21.659457081816,22.5980201636525,23.4431805263889,24.110894924557,24.4767794956358
112,112,GM_R_PercICV,58.6,20.1652962316438,20.7350943415161,21.6158125000469,22.5114437795164,23.3240666326384,23.9872654043787,24.3584970065344
113,113,GM_R_PercICV,59.6,20.1440300283185,20.706625554565,21.5651518587722,22.4220146207808,23.2048576390506,23.8633063868383,24.2390957589912
114,114,GM_R_PercICV,60.6,20.112666368248,20.6677152675583,21.5057012395895,22.3284022023971,23.0847480010316,23.7383301479424,24.1177888248117
115,115,GM_R_PercICV,61.6,20.0697612098416,20.6170625430678,21.4363008507613,22.2295326342792,22.9628896950477,23.6117039570384,23.9940112345872
116,116,GM_R_PercICV,62.6,20.0147971505343,20.5543295288274,21.3566732940127,22.1249166161955,22.8387522734764,23.4830999478911,23.8675748350568
117,117,GM_R_PercICV,63.6,19.9493465499452,20.4812159680242,21.2683472471568,22.0154133916941,22.7127365665528,23.3530013357409,23.7391347592227
118,118,GM_R_PercICV,64.6,19.8752367564084,20.3997517790535,21.1733953551625,21.9027749741191,22.5864111878813,23.2231660550801,23.6106480065608
119,119,GM_R_PercICV,65.6,19.794168077794,20.3119471897107,21.07423552074,21.78974086571,22.4628835786517,23.0971059996838,23.485856740259
120,120,GM_R_PercICV,66.6,19.7062507751006,20.2180744882477,20.9716559614783,21.6779868704015,22.3446991320879,22.9778120977156,23.367851228694
121,121,GM_R_PercICV,67.6,19.610114219836,20.1167814395764,20.8648248822236,21.5678960803356,22.2334125496294,22.8672796665753,23.2586154384166
122,122,GM_R_PercICV,68.6,19.5043669979104,20.0067167033538,20.7522643542603,21.457649210543,22.12698409667,22.7635476364785,23.156322430064
123,123,GM_R_PercICV,69.6,19.3883308265111,19.8872816007046,20.6327693239742,21.3444708551028,22.0212889852672,22.6622647193724,23.0568712843458
124,124,GM_R_PercICV,70.6,19.265208585162,19.7618413236844,20.50835093044,21.2267601010224,21.9114948705019,22.5578855327356,22.9551610494881
125,125,GM_R_PercICV,71.6,19.1396287307831,19.6351977473985,20.3823665595234,21.1039149984656,21.7933936244921,22.4453490824574,22.8465723815733
126,126,GM_R_PercICV,72.6,19.0168155151041,19.5125956437343,20.2589114405282,20.977086515332,21.6653872929711,22.3222717291322,22.7289514554463
127,127,GM_R_PercICV,73.6,18.9008243417202,19.3976974454839,20.1408740985894,20.8481203762165,21.5282544536094,22.1887331525001,22.602145517694
128,128,GM_R_PercICV,74.6,18.7934323639219,19.2912141802853,20.0287759313934,20.7195021632649,21.3861721450033,22.0484519305486,22.468904243091
129,129,GM_R_PercICV,75.6,18.6952173200405,19.1926385083932,19.922266414184,20.5937174957439,21.2441779766355,21.9062680764702,22.332985675692
130,130,GM_R_PercICV,76.6,18.605649471557,19.1005202149301,19.820413277969,20.4730738723903,21.1075881383511,21.7676506240791,22.1988449333672
131,131,GM_R_PercICV,77.6,18.5231842473932,19.013275163734,19.7224021563378,20.3586232327193,20.9792416497897,21.6359731400848,22.0696180943783
132,132,GM_R_PercICV,78.6,18.4458213403629,18.9292318520802,19.6273466100973,20.2505977146979,20.8604867181976,21.5132424356269,21.9474466267348
133,133,GM_R_PercICV,79.6,18.3713371733219,18.8457324504108,19.5330474037148,20.148807526621,20.7531306932041,21.401651363421,21.8340039403936
134,134,GM_R_PercICV,80.6,18.2975712812299,18.759897163583,19.4368543721801,20.0528652478495,20.6590681804793,21.3033261594325,21.7306498319049
135,135,GM_R_PercICV,81.6,18.2225897539696,18.6689910003984,19.3359813945919,19.9621946088786,20.5799947516244,21.2199938709462,21.6382758730057
136,136,GM_R_PercICV,82.6,18.1446162889389,18.5712938025568,19.2285423878254,19.8755241305109,20.5153922211308,21.1511426218756,21.5563560160793
137,137,GM_R_PercICV,83.6,18.0610569790391,18.4658433048936,19.1138683550004,19.7903994259561,20.4612213752716,21.0932303574087,21.4828678884645
