MUSE_ROI_Index,MUSE_ROI_Name
702,M5_ICV
701,M5_total_brain
614,M4_WM_R
613,M4_GM_R
607,M4_WM_L
606,M4_GM_L
604,M4_WM
601,M4_GM
600,M4_cort_CSF
509,M4_ventricles
508,M3_temporal
507,M3_parietal
506,M3_occipital
505,M3_limbic
504,M3_frontal
411,M2_temporal_GM
409,M2_parietal_GM
407,M2_occipital_GM
406,M2_limbic_GM
404,M2_frontal_GM
402,M2_deep_GM
95,M0_corpus_callosum
60,M0_thalamus_proper_L
59,M0_thalamus_proper_R
58,M0_putamen_L
57,M0_putamen_R
52,M0_Lateral_ventricle_L
51,M0_Lateral_ventricle_R
48,M0_hippocampus_L
47,M0_hippocampus_R
37,M0_caudate_L
36,M0_caudate_R
32,M0_amygdala_L
31,M0_amygdala_R
