MUSE_ROI_Index,MUSE_ROI_Name
702,M5_ICV
701,M5_total_brain
600,M4_cort_CSF
601,M4_GM
604,M4_WM
606,M4_GM_L
607,M4_WM_L
613,M4_GM_R
614,M4_WM_R
501,M3_corpus_callosum
502,M3_cerebellum
503,M3_deep_WM_GM
504,M3_frontal
505,M3_limbic
506,M3_occipital
507,M3_parietal
508,M3_temporal
509,M4_ventricles
510,M3_cerebellum_L
511,M3_deep_WM_GM_L
512,M3_frontal_L
513,M3_limbic_L
514,M3_occipital_L
515,M3_parietal_L
516,M3_temporal_L
517,M3_ventricle_L
518,M3_cerebellum_R
519,M3_deep_WM_GM_R
520,M3_frontal_R
521,M3_limbic_R
522,M3_occipital_R
523,M3_parietal_R
524,M3_temporal_R
525,M3_ventricle_R
401,M2_basalganglia
402,M2_deep_GM
403,M2_deep_WM
404,M2_frontal_GM
405,M2_frontal_WM
406,M2_limbic_GM
407,M2_occipital_GM
408,M2_occipital_WM
409,M2_parietal_GM
410,M2_parietal_WM
411,M2_temporal_GM
412,M2_temporal_WM
413,M2_basal_ganglia_L
414,M2_deep_GM_L
415,M2_deep_WM_L
416,M2_frontal_GM_L
417,M2_frontal_WM_L
418,M2_limbic_GM_L
419,M2_occipital_GM_L
420,M2_occipital_WM_L
421,M2_parietal_GM_L
422,M2_parietal_WM_L
423,M2_temporal_GM_L
424,M2_temporal_WM_L
425,M2_basal_ganglia_R
426,M2_deep_GM_R
427,M2_deep_WM_R
428,M2_frontal_GM_R
429,M2_frontal_WM_R
430,M2_limbic_GM_R
431,M2_occipital_GM_R
432,M2_occipital_WM_R
433,M2_parietal_GM_R
434,M2_parietal_WM_R
435,M2_temporal_GM_R
436,M2_temporal_WM_R
301,M1_frontal_inferior_GM
302,M1_frontal_insular_GM
303,M1_frontal_Lateral_GM
304,M1_frontal_medial_GM
305,M1_frontal_opercular_GM
306,M1_limbic_cingulate_GM
307,M1_limbic_medialtemporal_GM
308,M1_occipital_inferior_GM
309,M1_occipital_Lateral_GM
310,M1_occipital_medial_GM
311,M1_parietal_Lateral_GM
312,M1_parietal_medial_GM
313,M1_temporal_inferior_GM
314,M1_temporal_Lateral_GM
315,M1_temporal_supratemporal_GM
316,M1_frontal_inferior_GM_L
317,M1_frontal_insular_GM_L
318,M1_frontal_Lateral_GM_L
319,M1_frontal_medial_GM_L
320,M1_frontal_opercular_GM_L
321,M1_limbic_cingulate_GM_L
322,M1_limbic_medialtemporal_GM_L
323,M1_occipital_inferior_GM_L
324,M1_occipital_Lateral_GM_L
325,M1_occipital_medial_GM_L
326,M1_parietal_Lateral_GM_L
327,M1_parietal_medial_GM_L
328,M1_temporal_inferior_GM_L
329,M1_temporal_Lateral_GM_L
330,M1_temporal_supratemporal_GM_L
331,M1_frontal_inferior_GM_R
332,M1_frontal_insular_GM_R
333,M1_frontal_Lateral_GM_R
334,M1_frontal_medial_GM_R
335,M1_frontal_opercular_GM_R
336,M1_limbic_cingulate_GM_R
337,M1_limbic_medialtemporal_GM_R
338,M1_occipital_inferior_GM_R
339,M1_occipital_Lateral_GM_R
340,M1_occipital_medial_GM_R
341,M1_parietal_Lateral_GM_R
342,M1_parietal_medial_GM_R
343,M1_temporal_inferior_GM_R
344,M1_temporal_Lateral_GM_R
345,M1_temporal_supratemporal_GM_R
4,M0_3rd_ventricle
11,M0_4th_ventricle
23,M0_accumbens_area_R
30,M0_accumbens_area_L
31,M0_amygdala_R
32,M0_amygdala_L
35,M0_brain_stem
36,M0_caudate_R
37,M0_caudate_L
38,M0_cerebellum_exterior_R
39,M0_cerebellum_exterior_L
40,M0_cerebellum_white_matter_R
41,M0_cerebellum_white_matter_L
47,M0_hippocampus_R
48,M0_hippocampus_L
49,M0_inf_lat_vent_R
50,M0_inf_lat_vent_L
51,M0_Lateral_ventricle_R
