ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_ICV,50.291579999999996,1123425.58370313,1162261.13755383,1239710.94208603,1350814.59099993,1481051.85463084,1601972.84535888,1675909.13546188
MUSE_ICV,51.291579999999996,1127028.06546611,1165850.84680206,1243066.79362748,1353369.62703141,1482167.19236718,1601427.80968458,1674202.64038943
MUSE_ICV,52.291579999999996,1130586.2627054,1169400.13075438,1246392.6678389,1355920.65409465,1483330.9718443002,1601002.89216542,1672671.90036991
MUSE_ICV,53.29158,1134041.04284531,1172857.33108077,1249653.11511231,1358458.11724709,1484567.33615217,1600756.23521732,1671396.85655199
MUSE_ICV,54.29158,1137325.80142093,1176164.50532077,1252808.69226435,1360971.44961384,1485902.46775447,1600750.49915144,1670463.29925657
MUSE_ICV,55.29158,1140373.06306023,1179263.21129166,1255819.94392689,1363450.09716811,1487361.66698823,1601045.87256962,1669953.22053637
MUSE_ICV,56.29158,1143143.06030815,1182118.85896377,1258662.66222848,1365884.34731264,1488951.30878634,1601662.69135751,1669894.81223645
MUSE_ICV,57.29158,1145619.94836596,1184717.42341701,1261325.86680962,1368265.81859455,1490663.30704404,1602590.55569108,1670274.89238965
MUSE_ICV,58.29158,1147809.13311966,1187062.99139276,1263809.97180557,1370586.98108459,1492476.87839375,1603792.75357409,1671045.22644948
MUSE_ICV,59.29158,1149737.81339338,1189178.10620743,1266126.82716637,1372841.00253898,1494358.46528597,1605206.48067075,1672123.03226433
MUSE_ICV,60.29158,1151425.10712496,1191077.9306029,1268282.57985931,1375018.45482906,1496276.61549517,1606776.40711134,1673436.77183049
MUSE_ICV,61.29158,1152870.43322547,1192759.97492079,1270270.22613775,1377104.1625857,1498204.20817159,1608462.22785726,1674937.08761951
MUSE_ICV,62.29158,1154090.27746706,1194236.07201525,1272091.35921858,1379082.89102496,1500103.26047052,1610202.06823681,1676546.22707446
MUSE_ICV,63.29158,1155211.05580197,1195611.22588379,1273805.56736212,1380943.60479068,1501871.82741612,1611801.53993769,1678009.73006874
MUSE_ICV,64.29158000000001,1156401.26046381,1197025.74842805,1275494.08276515,1382677.3177681998,1503386.68280755,1613022.48724224,1679015.30699385
MUSE_ICV,65.29158000000001,1157858.66546885,1198645.57830433,1277256.84604026,1384284.94866158,1504525.35906879,1613619.61661571,1679239.01545869
MUSE_ICV,66.29158000000001,1159802.38305902,1200655.11126744,1279207.23032857,1385775.47908556,1505169.25340631,1613349.01940148,1678357.46046689
MUSE_ICV,67.29158000000001,1162350.78441475,1203153.49663837,1281406.83301785,1387159.33940545,1505270.94748757,1612109.72125823,1676237.13580649
