ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_ICV,23,1160563.9130126,1192186.04659202,1255658.839183,1346940.57664728,1449896.89185839,1538516.53937916,1589442.1070362
MUSE_ICV,24,1161147.79344501,1192897.14098068,1256538.06399339,1347892.6899935,1450860.74340315,1539557.23683529,1590567.36800683
MUSE_ICV,25,1161731.31414811,1193608.50124689,1257418.12600062,1348845.39387085,1451824.83713853,1540598.34352145,1591693.24483973
MUSE_ICV,26,1162314.43676328,1194320.0913718,1258298.98858714,1349798.64702167,1452789.1277891002,1541639.81107824,1592819.68769952
MUSE_ICV,27,1162897.12230901,1195031.87470273,1259180.61444641,1350752.40743911,1453753.56927733,1542681.59028583,1593946.64585469
MUSE_ICV,28,1163479.32927199,1195743.8119973,1260062.96352749,1351706.63015917,1454718.11234182,1543723.62853966,1595074.06507537
MUSE_ICV,29,1164061.01536819,1196455.86322649,1260945.99492796,1352661.26929396,1455682.70673139,1544765.87217555,1596201.89002962
MUSE_ICV,30,1164642.13826588,1197167.98831509,1261829.66767119,1353616.27886642,1456647.30210535,1545808.2674235,1597330.06526646
MUSE_ICV,31,1165222.66612996,1197880.15796934,1262713.95208143,1354571.62493264,1457611.86098429,1546850.77409018,1598458.54932971
MUSE_ICV,32,1165802.58656786,1198592.36282813,1263598.8393591002,1355527.29578763,1458576.36965153,1547893.3770135,1599587.32650788
MUSE_ICV,33,1166381.89159078,1199304.59807893,1264484.32547247,1356483.28476241,1459540.81972901,1548936.0666636003,1600716.38691327
MUSE_ICV,34,1166960.57721779,1200016.86305939,1265370.41078107,1357439.58992889,1460505.20798631,1549978.83900911,1601845.72636321
MUSE_ICV,35,1167538.66169782,1200729.18005156,1266257.11997789,1358396.23569391,1461469.55980738,1551021.7206113997,1602975.37241703
MUSE_ICV,36,1168116.19212806,1201441.6011386001,1267144.50939374,1359353.28069106,1462433.93773759,1552064.77778359,1604105.39391196
MUSE_ICV,37,1168693.22293763,1202154.18600927,1268032.64344166,1360310.79227267,1463398.41375257,1553108.08690706,1605235.8701393
MUSE_ICV,38,1169269.81316482,1202866.9991286001,1268921.59157845,1361268.84318016,1464363.06559171,1554151.73045171,1606366.88667336
MUSE_ICV,39,1169846.0289236,1203580.11228706,1269811.43101064,1362227.51445856,1465327.97990588,1555195.80033783,1607498.53886327
MUSE_ICV,40,1170421.95721335,1204293.61881227,1270702.26169668,1363186.91156518,1466293.26959962,1556240.41634874,1608630.95086627
MUSE_ICV,41,1170997.68233903,1205007.60931877,1271594.18076718,1364147.13691085,1467259.04426989,1557285.69475166,1609764.24321825
MUSE_ICV,42,1171573.29886872,1205722.18504453,1272487.29661384,1365108.30501503,1468225.4265541001,1558331.76567365,1610898.55080163
MUSE_ICV,43,1172148.92970059,1206437.47645732,1273381.74855858,1366070.56366537,1469192.57495164,1559378.79736273,1612034.04793971
MUSE_ICV,44,1172724.71651718,1207153.63344152,1274277.69649977,1367034.08278107,1470160.67180403,1560426.98341229,1613170.93518888
