ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_ICV,21,1215246.33622365,1251802.28326373,1323912.70998315,1425286.7169412,1539423.39991934,1639812.20622926,1698626.24981807
MUSE_ICV,22,1214378.5983916,1251041.24439202,1323287.24393738,1424698.83924219,1538773.81441055,1639102.52517762,1697884.46410894
MUSE_ICV,23,1213510.18457631,1250280.03896262,1322662.08386591,1424111.22588239,1538124.381715,1638393.07429859,1697142.97471442
MUSE_ICV,24,1212641.098363,1249518.67410147,1322037.2391859,1423523.88621576,1537475.11154316,1637683.86336152,1696401.79133154
MUSE_ICV,25,1211771.34379244,1248757.15739149,1321412.71971823,1422936.82989216,1536826.01376554,1636974.90216415,1695660.92360436
MUSE_ICV,26,1210900.92676048,1247995.49818933,1320788.53682372,1422350.06770422,1536177.09888972,1636266.20064862,1694920.38101359
MUSE_ICV,27,1210029.8535559,1247233.70624765,1320164.70221039,1421763.61069608,1535528.37756041,1635557.76878624,1694180.17300367
MUSE_ICV,28,1209158.13053872,1246471.79142182,1319541.22770101,1421177.47002811,1534879.86054808,1634849.61668662,1693440.30916721
MUSE_ICV,29,1208285.77199604,1245709.77167109,1318918.13350812,1420591.66561016,1534231.5677477,1634141.76388361,1692700.80868447
MUSE_ICV,30,1207412.8048848,1244947.67789145,1318295.45323494,1420006.23131998,1533583.53361866,1633434.24495084,1691961.70603371
MUSE_ICV,31,1206539.25720588,1244185.5420773,1317673.22163426,1419421.20223309,1532935.79387477,1632727.0957687,1691223.03703276
MUSE_ICV,32,1205665.16076148,1243423.40016139,1317051.47760803,1418836.61784169,1532288.38894616,1632020.35719885,1690484.84263761
MUSE_ICV,33,1204790.60115895,1242661.34334764,1316430.31810346,1418252.5794349,1531641.42515791,1631314.13952461,1689747.23526197
MUSE_ICV,34,1203915.70308493,1241899.50301794,1315809.88229676,1417669.2332735,1530995.05679021,1630608.60355683,1689010.37933542
MUSE_ICV,35,1203040.59176666,1241138.01118197,1315190.31008411,1417086.72640448,1530349.43896752,1629903.91101218,1688274.44023639
MUSE_ICV,36,1202165.41279685,1240377.02103103,1314571.76407177,1416505.23066792,1529704.75394086,1629200.25280808,1687539.61377106
MUSE_ICV,37,1201290.41728457,1239616.79520633,1313954.52397235,1415925.04565998,1529061.32368515,1628497.97017066,1686806.25228483
MUSE_ICV,38,1200415.88934124,1238857.63071083,1313338.90641121,1415346.51131153,1528419.51428437,1627797.45177241,1686074.75753761
MUSE_ICV,39,1199542.11222089,1238099.82383305,1312725.2274452,1414769.96701889,1527779.69123546,1627099.08565374,1685345.53063683
MUSE_ICV,40,1198669.3680641,1237343.66998339,1312113.80255152,1414195.75179718,1527142.21980902,1626403.25985305,1684618.97286678
MUSE_ICV,41,1197797.93761802,1236589.4635223,1311504.94663322,1413624.2044747,1526507.46547973,1625710.36314264,1683895.48665008
MUSE_ICV,42,1196928.10068581,1235837.49804358,1310898.97402263,1413055.66338714,1525875.79322751,1625020.78382187,1683175.47396483
MUSE_ICV,43,1196060.13218882,1235088.06227828,1310296.19408315,1412490.46157583,1525247.56228164,1624334.90403789,1682459.33040554
MUSE_ICV,44,1195194.22005813,1234341.35519837,1309696.82092531,1411928.82915581,1524623.02035861,1623652.98686886,1681747.32806572
MUSE_ICV,45,1194330.46874278,1233597.48959003,1309100.97713461,1411370.89731417,1524002.30800057,1622975.1809644,1681039.62035492
MUSE_ICV,46,1193468.97897949,1232856.57449899,1308508.78140362,1410816.79305303,1523385.56121213,1622301.63013105,1680336.35566342
MUSE_ICV,47,1192609.82713935,1232118.69393703,1307920.32602472,1410266.6150725,1522772.88558764,1621632.44590895,1679637.64902438
MUSE_ICV,48,1191752.91885504,1231383.75588091,1307335.51710982,1409720.26232764,1522164.17213558,1620967.51215437,1678943.38006921
MUSE_ICV,49,1190898.08625199,1230651.59248251,1306754.18050314,1409177.54762057,1521559.21931727,1620306.614532,1678253.32690969
MUSE_ICV,50,1190045.16150492,1229922.03591888,1306176.14199947,1408638.28365706,1520957.82549859,1619649.53861148,1677567.26756076
MUSE_ICV,51,1189193.92317726,1229194.86308579,1305601.16897463,1408102.22071938,1520359.72233892,1618995.99941905,1676884.90720181
MUSE_ICV,52,1188343.99490942,1228469.69113714,1305028.86008794,1407568.92886789,1519764.44889657,1618345.50828712,1676205.74069351
MUSE_ICV,53,1187494.97347623,1227746.10941212,1304458.78444368,1407037.94651552,1519171.51042632,1617697.54080125,1675529.22598199
MUSE_ICV,54,1186646.45842669,1227023.70997242,1303890.51380604,1406508.8148257,1518580.4151436,1617051.57567556,1674854.8242305
MUSE_ICV,55,1185798.11561371,1226302.15293069,1303323.69138679,1405981.15117842,1517990.75273604,1616407.17753083,1674182.08502581
MUSE_ICV,56,1184949.69457179,1225581.18435333,1302758.05073911,1405454.66936901,1517402.21594809,1615764.01965372,1673510.66980852
MUSE_ICV,57,1184100.95079315,1224860.55636062,1302193.33165945,1404929.08980617,1516814.50461135,1615121.78281299,1672840.24772407
MUSE_ICV,58,1183251.66011091,1224140.04198035,1301629.29591856,1404404.15638175,1516227.34374569,1614480.17445666,1672170.51547066
MUSE_ICV,59,1182401.79777159,1223419.61989164,1301065.92264839,1403879.84577898,1515640.70789661,1613839.16625954,1671501.44261193
MUSE_ICV,60,1181551.45412994,1222699.38756037,1300503.31661224,1403356.26926279,1515054.71586284,1613198.88265032,1670833.15646484
MUSE_ICV,61,1180700.72065069,1221979.44367835,1299941.58393125,1402833.5395758,1514469.48803009,1612559.44974371,1670165.78609576
MUSE_ICV,62,1179849.72643024,1221259.92598347,1299380.87225032,1402311.8140082,1513885.19256742,1611921.04443855,1669499.51319703
MUSE_ICV,63,1178998.74955064,1220541.12659424,1298821.49325411,1401791.42578222,1513302.18633951,1611284.04415946,1668834.727234
MUSE_ICV,64,1178148.10404356,1219823.37504728,1298263.79855699,1401272.75100211,1512720.87219112,1610648.87519488,1668171.86830964
MUSE_ICV,65,1177298.10173834,1219106.9988134,1297708.13779697,1400756.16372394,1512141.65075512,1610015.96149286,1667511.37412035
MUSE_ICV,66,1176448.95694632,1218392.22502527,1297154.75473624,1400241.92455939,1511564.80100394,1609385.59834037,1666853.54969148
MUSE_ICV,67,1175600.72102156,1217679.11294641,1296603.71578414,1399730.10400729,1510990.39804423,1608757.86542922,1666198.47772575
MUSE_ICV,68,1174753.42954662,1216967.70566715,1296055.07030434,1399220.75429441,1510418.49738313,1608132.82172414,1665546.21955252
MUSE_ICV,69,1173907.11764376,1216258.04592762,1295508.86741783,1398713.92749666,1509849.1544754,1607510.52622923,1664896.83659412
MUSE_ICV,70,1173061.81615943,1215550.17273274,1294965.15351156,1398209.67437335,1509282.42508008,1606891.03967696,1664250.39283136
MUSE_ICV,71,1172217.55258179,1214844.12217571,1294423.97285614,1397708.04466116,1508718.36516708,1606274.42408911,1663606.95416028
MUSE_ICV,72,1171374.35408051,1214139.93014155,1293885.3696025,1397209.08801155,1508157.03063004,1605660.74141391,1662966.58640182
MUSE_ICV,73,1170532.23334932,1213437.61750962,1293349.37179174,1396712.836459,1507598.45807913,1605050.03280947,1662329.33368158
MUSE_ICV,74,1169691.12577157,1212737.1245034,1292815.92048672,1396219.22685272,1507042.58001715,1604442.22727989,1661695.12314928
MUSE_ICV,75,1168850.94080003,1212038.36429913,1292284.92754849,1395728.16405942,1506489.29396805,1603837.21614884,1661063.8426542
MUSE_ICV,76,1168011.5878739,1211341.25008578,1291756.30482362,1395239.55290299,1505938.49741106,1603234.8906938,1660435.37999677
MUSE_ICV,77,1167172.94658457,1210645.66412476,1291229.93119413,1394753.26270685,1505390.04966111,1602635.10164252,1659809.5810025
MUSE_ICV,78,1166334.82938188,1209951.41904604,1290705.61132613,1394269.08289131,1504843.72413588,1602037.6084559,1659186.1970231
MUSE_ICV,79,1165497.03994031,1209258.31834639,1290183.14005851,1393786.79224974,1504299.28283845,1601442.15847109,1658564.96685982
MUSE_ICV,80,1164659.38297272,1208566.16658477,1289662.31329833,1393306.17073143,1503756.48908857,1600848.5004787,1657945.63084368
MUSE_ICV,81,1163821.67777607,1207874.78389896,1289142.94442593,1392827.01843002,1503215.12935168,1600256.4090274,1657327.95658293
MUSE_ICV,82,1162983.75830888,1207184.00611598,1288624.86445498,1392349.15578465,1502675.01346467,1599665.68466549,1656711.73921215
MUSE_ICV,83,1162145.45944617,1206493.67004028,1288107.90542984,1391872.40437396,1502135.95255371,1599076.12934805,1656096.77533507
MUSE_ICV,84,1161306.62068458,1205803.61725554,1287591.90439698,1391396.59108975,1501597.76341429,1598487.55099795,1655482.86769216
MUSE_ICV,85,1160467.11454855,1205113.72346364,1287076.73443822,1390921.58128757,1501060.30388515,1597899.80082631,1654869.86362336
MUSE_ICV,86,1159626.82868593,1204423.88001235,1286562.28515465,1390447.25794745,1500523.45060988,1597312.7498714,1654257.63089068
MUSE_ICV,87,1158785.65096692,1203733.97851273,1286048.44640369,1389973.50430432,1499987.08050185,1596726.26944393,1653646.03752575
MUSE_ICV,88,1157943.47828648,1203043.91985883,1285535.1177165,1389500.21376966,1499451.08118387,1596140.24199414,1653034.96293611
MUSE_ICV,89,1157100.23470223,1202353.63281874,1285022.22771657,1389027.3103942,1498915.37252217,1595554.5835317,1652424.32082241
MUSE_ICV,90,1156255.8494595,1201663.05152467,1284509.71062288,1388554.72411345,1498379.88057685,1594969.21650935,1651814.03146562
MUSE_ICV,91,1155410.25234973,1200972.11072083,1283997.50129241,1388082.38552783,1497844.53211253,1594384.06411262,1651204.01589386
MUSE_ICV,92,1154563.39737903,1200280.75887642,1283485.54886119,1387610.27498341,1497309.34280573,1593799.1421781,1650594.27612169
MUSE_ICV,93,1153715.25661948,1199588.99152674,1282973.85233703,1387138.33820715,1496774.1999802,1593214.33325989,1649984.7130202
MUSE_ICV,94,1152865.79654515,1198896.82350559,1282462.43139351,1386666.46694929,1496238.85510314,1592629.37932738,1649375.1142146
MUSE_ICV,95,1152014.9943388,1198204.26354693,1281951.29899412,1386194.59937115,1495703.16553893,1592044.13301277,1648765.35907177
MUSE_ICV,96,1151162.84018994,1197511.31144933,1281440.45828796,1385722.73179301,1495167.12206358,1591458.58559511,1648155.44115151
MUSE_ICV,97,1150309.32503141,1196817.96643935,1280929.91180701,1385250.86421488,1494630.72389402,1590872.73711248,1647545.36121622
MUSE_TBR,21,1100217.68310059,1135853.84764228,1205848.18497036,1302872.35994368,1406959.81706729,1491983.88834062,1539001.35457511
MUSE_TBR,22,1097851.91312938,1133453.9465573,1203352.42749351,1300198.57497764,1404114.18529256,1489068.0358893,1536079.41933042
MUSE_TBR,23,1095491.2444063,1131059.30605225,1200862.15824121,1297530.38673772,1401274.19352529,1486158.01898084,1533163.53365634
MUSE_TBR,24,1093135.64170216,1128669.96530535,1198377.46779873,1294867.7960502,1398439.73899237,1483253.78895335,1530253.74764454
MUSE_TBR,25,1090784.98763762,1126285.8867647,1195898.37050025,1292210.71051443,1395610.60652412,1480355.18438064,1527350.00608822
MUSE_TBR,26,1088438.85978067,1123906.74846327,1193424.59831189,1289558.69236222,1392786.16480974,1477461.62662447,1524451.86416534
MUSE_TBR,27,1086096.76822267,1121532.16560072,1190955.82087573,1286911.22700371,1389965.68919445,1474572.44342051,1521558.78998451
MUSE_TBR,28,1083758.22576285,1119161.75724507,1188491.71263584,1284267.80306658,1387148.45612041,1471686.96448765,1518670.2556137
MUSE_TBR,29,1081422.6548678,1116795.13974541,1186032.00369035,1281627.85152129,1384333.55364731,1468804.39184697,1515785.72209579
MUSE_TBR,30,1079089.33234016,1114431.92365412,1183576.51149807,1278990.70944535,1381519.7667505,1465923.7212817,1512904.63074013
MUSE_TBR,31,1076757.5277925,1112071.72443917,1181125.06674918,1276355.71055652,1378705.85715446,1463043.93377052,1510026.42552541
MUSE_TBR,32,1074426.57938171,1109714.25627673,1178677.62304046,1273722.28340279,1375890.64764003,1460164.09735722,1507150.67904969
MUSE_TBR,33,1072096.68848203,1107360.51755133,1176235.75207228,1271091.09408519,1373073.7503958,1457284.43153196,1504278.67730057
MUSE_TBR,34,1069768.67955186,1105012.4370559,1173802.19949659,1268463.70129159,1370255.33799844,1454405.97998377,1501412.94315546
MUSE_TBR,35,1067443.38475658,1102671.9592942,1171379.73261531,1265841.6712435,1367435.57231082,1451529.78136616,1498556.00963216
MUSE_TBR,36,1065122.17060129,1100341.55593591,1168971.66247003,1263227.18348809,1364615.30355024,1448657.58502399,1495711.11538691
MUSE_TBR,37,1062809.15279896,1098026.40154307,1166584.0827909,1260625.59737872,1361799.00049872,1445794.87212127,1492885.1737382
MUSE_TBR,38,1060509.29169564,1095732.50621791,1164223.95033973,1258043.24604667,1358992.2270605,1442948.25627207,1490086.22245231
MUSE_TBR,39,1058227.50716877,1093465.84863239,1161898.19380091,1255486.40986191,1356200.4654848,1440124.27116298,1487322.23529382
MUSE_TBR,40,1055968.55488553,1091232.08008681,1159613.28982822,1252961.07577973,1353429.0897107,1437329.20669375,1484600.727563
MUSE_TBR,41,1053736.8872324,1089036.18718346,1157374.77874071,1250472.6670641,1350683.34521273,1434568.93179774,1481928.31242581
MUSE_TBR,42,1051536.89051332,1086883.05675292,1155188.07134727,1248026.4992327,1347968.39622115,1431849.19976489,1479311.44357092
MUSE_TBR,43,1049372.80600907,1084777.43947343,1153058.43880199,1245627.70931302,1345289.18534224,1429175.53425806,1476756.35796715
MUSE_TBR,44,1047246.36360945,1082721.43981728,1150988.30238466,1243278.41053764,1342647.44920279,1426550.0064392,1474265.65975407
MUSE_TBR,45,1045156.90101231,1080714.64023538,1148977.36509787,1240977.83234786,1340041.86734084,1423971.39207665,1471838.48315971
MUSE_TBR,46,1043103.67670446,1078756.55423355,1147025.25824528,1238725.0973555,1337470.97334163,1421438.31223792,1469473.82085033
MUSE_TBR,47,1041085.23224899,1076845.90786088,1145130.73854484,1236518.43177014,1334932.38565811,1418948.36747523,1467169.54924089
MUSE_TBR,48,1039094.91441699,1074975.62644393,1143286.11211751,1234349.65322125,1332417.40324256,1416492.09000787,1464915.65954622
MUSE_TBR,49,1037123.87856885,1073136.17728529,1141480.94102154,1232207.86427492,1329914.66126506,1414057.01712064,1462698.78548185
MUSE_TBR,50,1035163.34849402,1071318.08992654,1139704.84050343,1230082.23183963,1327412.87273059,1411630.75032982,1460505.61222126
MUSE_TBR,51,1033203.78252127,1069510.31557256,1137945.24006177,1227960.61643353,1324900.47290432,1409199.96676112,1458320.8014188
MUSE_TBR,52,1031233.28318174,1067697.08685169,1136183.10483478,1225826.99019933,1322365.0201664,1406748.62406729,1456123.10606555
MUSE_TBR,53,1029239.57753126,1065861.75277656,1134398.16771595,1223664.72745413,1319794.21366957,1404260.47150818,1453890.3756322
MUSE_TBR,54,1027210.49134134,1063987.65364676,1132570.11233407,1221457.37549269,1317176.18064843,1401719.66882849,1451600.71511307
MUSE_TBR,55,1025135.68623641,1062059.59340695,1130679.94133691,1219190.57849776,1314502.03275841,1399113.26155738,1449234.6045322
MUSE_TBR,56,1023007.11591059,1060064.22497479,1128710.33969409,1216852.59641898,1311766.56253881,1396431.86575934,1446775.48801221
MUSE_TBR,57,1020816.88317471,1057988.24987185,1126644.02407797,1214431.95423996,1308965.09606744,1393666.64780059,1444207.21381873
MUSE_TBR,58,1018557.61610772,1055818.95038503,1124464.39321925,1211917.93456386,1306093.80171578,1390809.75562417,1441514.67453618
MUSE_TBR,59,1016227.128538,1053549.8398309,1122162.03998711,1209306.44528607,1303154.77851751,1387860.34677579,1438691.17095849
MUSE_TBR,60,1013826.2320181,1051178.07859702,1119731.7839163,1206597.22062522,1300153.47267263,1384821.56805284,1435734.85577948
MUSE_TBR,61,1011355.79457728,1048700.96605436,1117168.63288995,1203790.07241938,1297095.29057513,1381696.57232524,1432643.98097206
MUSE_TBR,62,1008818.0225285,1046118.1198743,1114470.60868654,1200886.73203545,1293986.29194532,1378489.8769484,1429419.46654759
MUSE_TBR,63,1006220.25893709,1043437.85536694,1111647.02500664,1197896.36554446,1290835.465517,1375211.61798371,1426072.65149891
MUSE_TBR,64,1003571.11327547,1040670.71633035,1108710.08115135,1194829.89825611,1287652.25189213,1371873.03737817,1422617.27495163
MUSE_TBR,65,1000879.16478091,1037827.32354115,1105672.08061436,1191698.14288026,1284445.73587351,1368485.01808079,1419066.85802742
MUSE_TBR,66,998151.189762654,1034917.34489465,1102544.84290122,1188510.06321625,1281221.5830615,1365055.45136387,1415433.08226172
MUSE_TBR,67,995390.94689338,1031948.76150647,1099339.26556979,1185271.60139667,1277980.01225784,1361587.50490751,1411724.72037083
MUSE_TBR,68,992601.873430641,1028929.33772115,1096066.09274199,1181988.36580795,1274720.69145685,1358083.85520873,1407950.21483084
MUSE_TBR,69,989787.467873819,1025866.83639267,1092736.04657023,1178666.04564235,1271443.47565605,1354547.35520804,1404118.12237085
MUSE_TBR,70,986952.895377856,1022770.44452736,1089361.2072608,1175312.2453702,1268150.75742481,1350983.36893995,1400239.20669481
MUSE_TBR,71,984104.552792509,1019650.36299109,1085954.60511485,1171935.99787731,1264846.89085114,1347399.19545235,1396325.89588289
MUSE_TBR,72,981248.752286196,1016516.60191121,1082529.03866906,1168546.275621,1261536.35379697,1343802.23771698,1392390.60308889
MUSE_TBR,73,978391.455463711,1013378.70139928,1079096.77494681,1165151.67679149,1258223.41932162,1340199.65060881,1388445.35595424
MUSE_TBR,74,975537.262673596,1010244.68956095,1075668.44069576,1161759.22238428,1254910.85058418,1336596.95218978,1384500.36381395
MUSE_TBR,75,972690.26004833,1007121.94727724,1072253.93186499,1158375.35498654,1251600.99813278,1332999.17834768,1380565.19569576
MUSE_TBR,76,969854.44584354,1004017.64253109,1068862.86674638,1155006.4349314,1248296.34417584,1329411.45067347,1376649.35772028
MUSE_TBR,77,967032.739100469,1000937.04489755,1065502.36138955,1151657.21572186,1244998.81136048,1325837.70372112,1372760.06173569
MUSE_TBR,78,964225.761877904,997881.477707372,1062174.32949126,1148328.96005605,1241708.85588901,1322279.06771378,1368899.45464842
MUSE_TBR,79,961433.825478443,994851.718178898,1058879.95645808,1145022.44813129,1238426.74154344,1318736.28616792,1365068.97514388
MUSE_TBR,80,958657.235107419,991848.485278834,1055620.32845502,1141738.42255059,1235152.7663131,1315210.09336333,1361269.98249952
MUSE_TBR,81,955896.136718128,988871.427216719,1052394.79900347,1138476.95682071,1231887.81549567,1311701.10898589,1357502.46087475
MUSE_TBR,82,953150.523574036,985919.153390129,1049201.03406051,1135237.4570168,1228633.31712343,1308209.80203348,1353765.0111386
MUSE_TBR,83,950420.394710758,982990.283786895,1046036.70294774,1132019.3060325,1225390.65173159,1304736.57790234,1350056.16765159
MUSE_TBR,84,947705.676664168,980083.464103697,1042899.5590132,1128821.82610918,1222160.97532094,1301281.67085809,1346374.42089457
MUSE_TBR,85,945005.680509735,977197.182120715,1039787.49353484,1125643.84093788,1218944.20298592,1297844.37415591,1342717.94839111
MUSE_TBR,86,942319.445744188,974329.867733436,1036698.47764953,1122483.95681901,1215739.68623818,1294423.5563828,1339084.79526028
MUSE_TBR,87,939646.02468833,971479.98126212,1033630.52271194,1119340.79403637,1212546.76192735,1291018.0790981,1335473.02028103
MUSE_TBR,88,936984.45467037,968645.958773445,1030581.60548851,1116212.94044708,1209364.73960095,1287626.76261019,1331880.62436586
MUSE_TBR,89,934333.699661046,965826.103040462,1027549.52027165,1113098.85521563,1206192.86703791,1284248.30931894,1328305.40305351
MUSE_TBR,90,931692.721168071,963018.716776409,1024532.06039238,1109996.98705445,1203030.37283936,1280881.39882553,1324745.12846465
MUSE_TBR,91,929060.502164497,960222.144675317,1021527.07468214,1106905.81316281,1199876.48423042,1277524.72163512,1321197.60843029
MUSE_TBR,92,926437.516228851,957436.401698378,1018534.27526766,1103825.66317483,1196732.25633333,1274179.02188839,1317662.95343669
MUSE_TBR,93,923821.764479807,954659.292251879,1015551.24150362,1100754.07794155,1193595.1995553,1270841.5433451,1314138.13553798
MUSE_TBR,94,921208.800500055,951886.211673081,1012573.06273108,1097685.7220058,1190459.5112322,1267506.09269398,1310616.74041098
MUSE_TBR,95,918596.084182356,949114.522873052,1009596.92391136,1094617.54743733,1187321.88651011,1264169.13884566,1307095.10291903
MUSE_TBR,96,915983.46389448,946344.053214742,1006622.63454742,1091549.37286887,1184182.15277559,1260830.48941441,1303573.00506171
MUSE_TBR,97,913370.939248812,943574.786380137,1003650.17063919,1088481.19830041,1181040.33513278,1257490.16279725,1300050.44677637
MUSE_GM,21,648912.552059888,662096.308931044,690963.923642126,735808.812645054,784165.259463041,819511.455517846,836932.191185275
MUSE_GM,22,644708.430997137,658141.129058641,687354.826754706,732452.871919159,781029.309512096,816704.817404891,834398.38045944
MUSE_GM,23,640516.462858402,654203.836501236,683768.978336765,729115.380804346,777904.154572268,813909.670873976,831879.036359459
MUSE_GM,24,636341.00363059,650288.437561436,680209.41487459,725797.578333,774788.957356094,811123.54589386,829370.811338861
MUSE_GM,25,632185.137053306,646397.624910088,676677.832785637,722499.444039545,771681.742907212,808342.852490023,826869.202443139
MUSE_GM,26,628046.94483868,642529.034710774,673170.938185078,719216.377234359,768576.473157684,805560.148690123,824365.856149138
MUSE_GM,27,623923.510117224,638679.254742842,669684.357739771,715942.798862843,765466.271148307,802767.166207592,821851.551982969
MUSE_GM,28,619812.0664169,634844.972911852,666213.754034132,712673.167575987,762344.317715408,799955.645762982,819317.025231883
MUSE_GM,29,615706.525167246,631019.449563049,662751.130045272,709397.955586445,759199.472557687,797112.755053742,816748.316059406
MUSE_GM,30,611595.499173361,627190.502795979,659282.704397027,706101.312301673,756013.712782912,794218.400174354,814124.03695106
MUSE_GM,31,607467.550211932,623345.82907943,655794.471325237,702767.108246372,752768.704669696,791252.102558195,811422.35354692
MUSE_GM,32,603312.937353351,619474.713257414,652273.820813769,699380.402353885,749447.093218956,788194.153164815,808622.070538663
MUSE_GM,33,599139.477843311,615583.302289195,648723.314742128,695938.539448265,746040.539433029,785031.437901384,805707.394291105
MUSE_GM,34,594967.857395226,611690.025033478,645156.453366539,692447.643664244,742547.105337464,781755.455880334,802666.234712111
MUSE_GM,35,590819.354840697,607813.734957178,641586.932308334,688913.942552962,738964.977588831,778357.774305092,799486.484469006
MUSE_GM,36,586718.43763359,603976.959237497,638033.304962826,685350.614395733,735301.732204075,774841.178870348,796168.164837625
MUSE_GM,37,582704.272941539,600220.161127819,634539.025905989,681806.479778403,731612.485473364,771265.27640112,792773.005608235
MUSE_GM,38,578819.295130265,596588.269777368,631154.445757203,678340.750540467,727966.526725436,767706.912524609,789381.668055255
MUSE_GM,39,575104.291777826,593124.748792873,627928.664984285,675011.429882718,724431.88335361,764241.764279695,786073.782726109
MUSE_GM,40,571595.313489162,589868.486100966,624906.407072688,671872.197571431,721072.222716594,760941.225905594,782924.809343318
MUSE_GM,41,568320.234104089,586850.33627384,622124.556801032,668968.991327945,717943.483363638,757869.040866574,780002.64815604
MUSE_GM,42,565305.070327599,584099.4839577,619618.529911183,666346.250980591,715099.951583907,755087.302138599,777373.626678236
MUSE_GM,43,562574.500579637,581643.869649508,617422.508614304,664046.881227677,712593.926246319,752655.862420823,775101.761124513
MUSE_GM,44,560141.315264229,579497.302982086,615552.325819066,662089.884403754,710447.74991184,750599.296537184,773212.680055765
MUSE_GM,45,558007.659896188,577660.597499984,614006.572272475,660471.746677859,708655.595124874,748908.889300905,771695.656345562
MUSE_GM,46,556175.891454258,576134.567963664,612783.576199429,659188.558360498,707211.13245185,747575.221750405,770539.091186887
MUSE_GM,47,554644.20747974,574915.603018677,611876.820230259,658231.134551677,706102.349186579,746582.838964566,769725.141449134
MUSE_GM,48,553377.304854704,573965.440444717,611242.737340447,657549.701587985,705273.016541668,745869.545014169,769188.016270179
MUSE_GM,49,552326.078006877,573231.359636681,610822.101194209,657077.299052862,704648.216264943,745353.332329289,768841.531305226
MUSE_GM,50,551442.257159111,572661.2274628,610556.027528868,656747.330754517,704153.509508363,744952.638023424,768599.862890952
MUSE_GM,51,550670.40959827,572196.135602809,610380.181118904,656490.393513764,703714.519917943,744587.777808669,768379.829003468
MUSE_GM,52,549932.741569496,571756.497275091,610213.947321147,656228.406113163,703256.188576955,744183.644345264,768105.16554161
MUSE_GM,53,549147.285593947,571258.876766559,609973.769054162,655881.840064124,702703.469663171,743666.057436657,767700.92225211
MUSE_GM,54,548232.178023864,570620.003656806,609576.462106406,655371.791028943,701982.079258087,742961.648705336,767092.964931555
MUSE_GM,55,547113.355110095,569765.75416046,608950.927032408,654635.715489291,701038.36537203,742020.683969933,766232.245717618
MUSE_GM,56,545726.519973775,568633.590724493,608041.471062609,653631.858594357,699844.794636567,740823.330496502,765101.468500356
MUSE_GM,57,544007.850295701,567161.81130227,606793.828422381,652320.3312276,698375.895726786,739351.956203618,763685.614893019
MUSE_GM,58,541897.67193097,565292.864132681,605157.754786187,650664.734158807,696608.892208781,737590.974512587,761971.365778384
MUSE_GM,59,539378.474459233,563008.946702382,603118.06448796,648657.310352029,694542.883156668,735541.23787998,759958.880346563
