"ROI_Name","Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
"M4_cort_CSF",50.29,180432.101383311,185079.953631492,229998.01653971,229998.01653971,229998.01653971,294315.270832024,304279.49374488
"M4_cort_CSF",51.29,180761.857010288,185523.692443752,231609.523536163,231609.523536163,231609.523536163,297733.165647372,307985.294333834
"M4_cort_CSF",52.29,181072.017678148,185950.538868172,201833.239869362,233232.599303674,272594.419440933,301204.541553802,311750.687704226
"M4_cort_CSF",53.29,181365.960751074,186363.605244654,202644.243863084,234866.883334324,275307.423838065,304720.964314899,315565.65273283
"M4_cort_CSF",54.29,181649.172750553,186768.003638664,203453.39519799,236512.53861547,278046.232592581,308271.213108344,319416.757686763
"M4_cort_CSF",55.29,181928.563298387,187170.175562682,204265.383924196,238169.77103984,280803.533982022,311841.23111162,323287.198818977
"M4_cort_CSF",56.29,182219.102679377,187584.35269756,205090.408379732,239838.671699223,283562.944522575,315400.177713382,327141.113885952
"M4_cort_CSF",57.29,182545.569460265,188047.046350697,205954.618036222,241519.242126403,286282.519678788,318870.183643611,330919.625125135
"M4_cort_CSF",58.29,182889.728683648,188641.215453959,206926.271887906,243211.50771422,288853.787774897,322076.674585434,334662.729671471
"M4_cort_CSF",59.29,183122.089133994,189453.459737078,208162.580741181,244915.481972927,291029.37568256,324840.568532294,338666.169752974
"M4_cort_CSF",60.29,183092.816641023,190489.773852359,209947.031225572,246631.162048351,292373.760311097,327156.725089231,343274.726879595
"M4_cort_CSF",61.29,182819.621402769,191757.708975516,212523.411087029,248358.498836682,292546.174467238,329022.139050858,348452.825434704
"M4_cort_CSF",62.29,182584.323627037,193317.422333129,215752.479022815,250097.360642821,291827.592218642,330333.753299078,353547.04558683
"M4_cort_CSF",63.29,182731.986880165,195115.985287973,219084.753554623,251847.588461107,291078.851192907,331222.615576756,357739.916904886
