"ROI_Name","Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
"M4_cort_CSF",55.1,159677.552628882,163765.156681247,174002.292633823,194339.034043651,225847.477941523,260502.296623158,284098.164338927
"M4_cort_CSF",56.1,159089.188041943,163470.61948283,174203.939951655,194805.109703295,225119.921981213,256251.280294628,276113.934675566
"M4_cort_CSF",57.1,158508.943372877,163222.476823579,174505.306765834,195388.52365168,224619.087357251,252942.046240469,270157.166341196
"M4_cort_CSF",58.1,158003.789195601,163094.687704057,174990.21434896,196184.723634595,224446.813216386,250504.254668017,265765.572453805
"M4_cort_CSF",59.1,157654.439938144,163173.859085467,175752.841440914,197299.600547802,224721.344448716,248949.840009477,262736.189156408
"M4_cort_CSF",60.1,157515.676447236,163518.255268279,176854.729896436,198803.669683137,225521.730374774,248278.047535454,260933.033423969
"M4_cort_CSF",61.1,157667.365979684,164209.185046841,178377.684633682,200788.773262976,226952.18538636,248541.350878909,260326.348145521
"M4_cort_CSF",62.1,158330.562148437,165468.052148394,180543.289838557,203493.177192731,229282.947977783,250004.819856609,261151.311080258
"M4_cort_CSF",63.1,159743.548864015,167524.429866978,183566.451435545,207133.717050145,232756.572579189,252922.386106363,263656.140093443
"M4_cort_CSF",64.1,162091.782355227,170535.683136698,187556.682437086,211783.24390284,237449.726279036,257395.427110875,267959.116468179
"M4_cort_CSF",65.1,165253.671489703,174345.688290636,192296.632343632,217152.698509725,243015.255577473,263043.379487662,273664.432398878
"M4_cort_CSF",66.1,168690.477636258,178389.25191802,197162.584749202,222514.456590657,248598.295617844,268912.958668361,279768.224896948
"M4_cort_CSF",67.1,171761.003365263,182012.661874872,201470.330379087,227113.614915553,253322.455357945,274000.187546848,285187.889622722
"M4_cort_CSF",68.1,173873.35764863,184626.826997229,204629.227064498,230330.465882423,256475.354383606,277461.565046176,288988.590238311
"M4_cort_CSF",69.1,175115.96716566,186340.482865421,206785.340243345,232354.675761111,258264.212837717,279486.925023666,291339.456439931
"M4_cort_CSF",70.1,175846.871957086,187536.158463269,208365.082832001,233668.374014716,259223.524276588,280648.192918996,292832.35765869
"M4_cort_CSF",71.1,176460.282743646,188619.842854672,209790.107041913,234704.727031565,259821.395083813,281488.660826873,294074.394952351
"M4_cort_CSF",72.1,177262.988015193,189895.093644432,211363.669853292,235771.244061381,260388.298148801,282396.21018146,295507.576120111
"M4_cort_CSF",73.1,178406.569340022,191486.888236831,213192.26958342,236989.181323282,261066.207392892,283530.837161014,297312.429506872
"M4_cort_CSF",74.1,180070.435970937,193523.856438423,215377.69582412,238512.641344615,262065.475439533,285114.82547646,299716.500934737
"M4_cort_CSF",75.1,182435.86555415,196119.180723593,218004.917230158,240516.424093985,263655.825978816,287431.312256292,302995.32779872
"M4_cort_CSF",76.1,185479.501532736,199188.859057985,220963.94199667,242971.790233948,265894.712537421,290539.822451223,307187.313566322
"M4_cort_CSF",77.1,189031.142924121,202529.803461384,224039.651161078,245731.106135335,268710.266778955,294366.444074414,312187.561028761
"M4_cort_CSF",78.1,192783.097105283,205870.388621655,226989.029538345,248577.930387384,271907.582922627,298684.02599087,317714.571344538
"M4_cort_CSF",79.1,196462.175252658,208988.028341139,229615.862453827,251306.602200241,275272.501884442,303242.56542335,323464.555808345
"M4_cort_CSF",80.1,199913.391467259,211779.843452804,231835.559315732,253782.961795827,278628.67949935,307850.681644983,329233.901745813
"M4_cort_CSF",81.1,202990.08091847,214147.101521407,233566.086030802,255858.68029027,281760.090831757,312268.283970872,334776.094012252
"M4_cort_CSF",82.1,205531.177221581,215970.550925898,234707.22003414,257361.083285331,284405.380753778,316198.415751511,339788.802457911
"M4_cort_CSF",83.1,207411.28839883,217150.129323092,235175.498332337,258155.646744956,286356.687985553,319395.407305133,344011.54021338
"M4_cort_CSF",84.1,208556.596866163,217625.150928761,234924.074566104,258165.233933528,287482.909347158,321693.802594889,347257.653037392
"M4_cort_CSF",85.1,209041.163286837,217472.178076586,234040.580305825,257477.228997088,287861.934173487,323169.21391387,349595.600460289
"M4_cort_CSF",86.1,209002.89262641,216829.70029804,232673.612573634,256248.176819126,287657.320986518,324006.855945694,351224.800634809
"M4_cort_CSF",87.1,208602.356613026,215861.416896703,230997.793293553,254655.962564196,287053.075767815,324442.656826619,352441.815896392
"M4_cort_CSF",88.1,208001.051879529,214732.776313442,229190.140188062,252882.823307951,286240.587350283,324733.698379048,353586.303502116
"M4_cort_CSF",89.1,207352.366871582,213601.182009044,227419.624649025,251105.906223098,285408.080090714,325137.701131092,355008.385108953
"M4_GM_L_PercICV",55.1,20.3909833789233,20.9725003797417,21.8134518695618,22.5995286591289,23.3056105135387,23.9160401491455,24.2701424015074
"M4_GM_L_PercICV",56.1,20.4069433119796,20.9921321563692,21.8367166330684,22.622504582321,23.3316889663958,23.953032407717,24.3164545861264
"M4_GM_L_PercICV",57.1,20.4174044123587,21.0057863719273,21.8534733240347,22.6385469214301,23.3505672858648,23.9829318175225,24.3559273310856
"M4_GM_L_PercICV",58.1,20.416708826664,21.0075930138706,21.8576131603404,22.6414173102752,23.3558765100592,23.9991795247946,24.3818730359761
"M4_GM_L_PercICV",59.1,20.3981111853319,20.9906601898872,21.8420782850675,22.6239989041626,23.3403844017379,23.9942702138629,24.3865698019836
"M4_GM_L_PercICV",60.1,20.3578119538027,20.9510000337982,21.8027351925028,22.5822035137895,23.3000272086282,23.9639931803763,24.3656626036437
"M4_GM_L_PercICV",61.1,20.2932000296029,20.8858365605669,21.7366648286817,22.513114983248,23.2318972883498,23.905344247884,24.3160538468497
"M4_GM_L_PercICV",62.1,20.2008388254113,20.7917311402607,21.6402568274801,22.4127645465783,23.1316944015683,23.8138639552399,24.2332425094565
"M4_GM_L_PercICV",63.1,20.0795811731408,20.6677858124176,21.5126063708762,22.2797970279605,22.9975977237404,23.6875679595285,24.1152461646889
"M4_GM_L_PercICV",64.1,19.9334473149786,20.5186698504867,21.3587097001954,22.1187657235157,22.8336177930261,23.5303421657286,23.9660193151055
"M4_GM_L_PercICV",65.1,19.773205304366,20.3552668237421,21.18957020641,21.9406739353972,22.6507928281943,23.3534627940526,23.7970856011875
"M4_GM_L_PercICV",66.1,19.6159132920065,20.1940717970743,21.0215033914779,21.7623496580023,22.4666872192986,23.1751888714621,23.6271875611805
"M4_GM_L_PercICV",67.1,19.4743877261255,20.0468213376178,20.8656662627728,21.5955075583526,22.2939276965337,23.0089449513814,23.4703057510463
"M4_GM_L_PercICV",68.1,19.3562558906046,19.9200152190189,20.7278851646419,21.4464789927265,22.1397105284771,22.8626660228943,23.3349165996743
"M4_GM_L_PercICV",69.1,19.2573125132364,19.8093453125954,20.6037237028011,21.3109017180073,21.9997364699166,22.7319835387411,23.2166483976908
"M4_GM_L_PercICV",70.1,19.1704323999372,19.7081173722289,20.4866819123935,21.1821917014117,21.867155863946,22.6096368683929,23.1079927537659
"M4_GM_L_PercICV",71.1,19.0915356733726,19.6131180657709,20.3740919416112,21.0575658953818,21.738754326451,22.4918363894691,23.004775305932
"M4_GM_L_PercICV",72.1,19.0176145906073,19.5223144392488,20.2646689631879,20.9358072620736,21.6129638896113,22.3762733921256,22.904036173847
"M4_GM_L_PercICV",73.1,18.9464410515101,19.43448247723,20.1581348626551,20.8170147875225,21.4897388981621,22.2619506513824,22.8036948899637
"M4_GM_L_PercICV",74.1,18.8745625614078,19.3470716378965,20.0530504684195,20.7006955107219,21.3688938782323,22.1473222504847,22.7002530106462
"M4_GM_L_PercICV",75.1,18.7978243188752,19.2566131904515,19.947041922557,20.5858167140026,21.2501026429157,22.0304601644025,22.5891336808794
"M4_GM_L_PercICV",76.1,18.7140789633336,19.1610324743518,19.8385199123099,20.4718681888896,21.1336617324509,21.9106923657513,22.4677110382871
