"ROI_Name","Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
"M4_cort_CSF",54.6,174323.225192605,183227.412749306,199609.162637893,220255.122951244,245435.184504573,274939.589982551,296866.93603419
"M4_cort_CSF",55.6,176889.892696293,185710.332521322,202001.000658694,222690.943046541,247817.927789506,276720.962680194,297865.70118202
"M4_cort_CSF",56.6,179441.646529205,188160.138514009,204358.203167339,225158.232335748,250330.655278935,278692.491701293,299084.357973728
"M4_cort_CSF",57.6,181940.065260026,190537.74018105,206649.904038794,227657.56439954,253017.698253789,280927.560562932,300607.630913185
"M4_cort_CSF",58.6,184341.687923957,192813.460751022,208865.203426053,230187.756944902,255889.907816389,283471.956857867,302519.540816051
"M4_cort_CSF",59.6,186625.984351223,195016.883516602,211073.374434014,232750.74473514,258850.117687681,286261.134628076,304853.457037762
"M4_cort_CSF",60.6,188780.794442576,197197.77414042,213370.769675785,235349.605737515,261766.074506558,289198.229588809,307627.856491751
"M4_cort_CSF",61.6,190793.921155378,199382.990091506,215813.858477754,237984.339486367,264557.447792552,292227.145606937,310854.885458515
"M4_cort_CSF",62.6,192653.167347633,201568.227234802,218403.608867989,240646.899810663,267206.172370006,295331.827551595,314524.998999296
"M4_cort_CSF",63.6,194337.097899249,203654.319350806,220984.455524238,243309.748481682,269870.108295484,298625.24268131,318592.703900545
"M4_cort_CSF",64.6,195831.175998661,205529.623548763,223377.235793383,245951.726256044,272750.526999058,302259.806751802,323020.963199159
"M4_cort_CSF",65.6,197143.332707277,207108.355334729,225431.845010345,248568.995953494,276046.598419342,306387.998645731,327778.539367374
"M4_cort_CSF",66.6,198327.884397806,208412.868165281,227140.233343154,251178.068744183,279810.167729977,311016.114378131,332791.338415946
"M4_cort_CSF",67.6,199486.495073108,209582.961725201,228650.127603812,253814.609160227,283923.376431429,315979.245651963,337932.746558156
"M4_cort_CSF",68.6,200695.222030771,210756.753140898,230132.345557971,256519.930873927,288246.587833331,321127.253861776,343152.169367287
"M4_cort_CSF",69.6,202020.737272107,212063.596638257,231754.79947654,259335.942427002,292639.190318841,326322.069222063,348421.305538339
"M4_cort_CSF",70.6,203603.968266389,213659.107925239,233660.144071262,262289.912258417,296955.630060168,331324.699349037,353484.449349156
"M4_cort_CSF",71.6,205599.033838719,215753.300972744,236070.548094069,265401.617613192,300913.229255486,335764.535766413,358033.818514061
"M4_cort_CSF",72.6,208102.745432631,218673.191325109,239457.766842813,268681.539043629,303851.865856593,339029.705442454,361885.844437162
"M4_cort_CSF",73.6,211178.751858731,222605.979805653,244064.231802307,272103.719297272,305408.567592513,340745.364489641,364846.591291279
"M4_cort_CSF",74.6,214839.89515481,227360.662609713,249494.61629834,275579.662342917,306028.028711023,341159.652453418,366679.726312688
"M4_cort_CSF",75.6,218937.170555087,232418.738807863,254958.577213252,278991.818684072,306574.030837359,341022.777050637,367454.564213121
"M4_cort_CSF",76.6,222969.392726297,236832.992184606,259364.007531274,282203.044627852,308134.120063564,341645.893962783,367912.407436195
"M4_cort_CSF",77.6,226459.395303587,239957.869284427,262132.209377897,285125.639620572,311170.966091212,343789.674280021,368773.026658245
"M4_cort_CSF",78.6,229329.567882894,241822.862072534,263342.303498234,287713.409835099,315450.571756862,347187.686989282,369994.136487691
"M4_cort_CSF",79.6,231708.239294101,243061.879272509,263844.50365923,289975.797550738,319917.799559248,350774.826707272,371300.768185988
"M4_cort_CSF",80.6,233458.222126534,244022.157088644,264342.385780524,291946.18898291,323733.481466798,354054.606113015,373023.152968716
"M4_cort_CSF",81.6,234405.859756944,244746.185889191,265096.963105217,293668.213527494,326639.20998012,357070.09418455,375584.21160653
"M4_cort_CSF",82.6,234532.759912645,245260.390167296,266186.872781416,295194.438489494,328643.425457954,359914.553866164,379147.570096728
"M4_cort_CSF",83.6,234033.733929232,245602.702512582,267516.814576527,296588.857945766,330022.633957099,362691.623997934,383525.83723989
"M4_cort_CSF",84.6,233153.72316217,245862.792205732,269026.417880124,297912.557209882,331003.88096959,365410.182768885,388435.853910703
"M4_cort_CSF",85.6,232142.378869044,246111.044051,270613.880967217,299220.686858007,331852.879142546,368095.649633447,393558.671813933
"M4_cort_CSF",86.6,231160.472074761,246397.490819904,272224.51738451,300555.433774167,332738.996806994,370773.558785944,398697.265383118
"M4_cort_CSF",87.6,230299.379377776,246784.403030997,273885.38980782,301944.25377919,333689.545381907,373410.418844104,403740.51563806
"M4_cort_CSF",88.6,229566.246471451,247325.599464358,275669.023856377,303374.434178214,334583.567647136,375882.853186752,408627.84257097
"M4_cort_CSF",89.6,228970.046111463,248098.0695215,277671.091638849,304822.228305825,335250.060568579,378002.513886121,413263.630195543
"M4_GM_L_PercICV",54.6,19.8935980597441,20.3637392442574,21.3371459674272,22.7126423196781,24.0366384217999,24.9149139619728,25.3227894407704
"M4_GM_L_PercICV",55.6,19.8576906152774,20.3420584774514,21.3043083966844,22.5930816471594,23.7783458573204,24.5450969962633,24.8981819453234
"M4_GM_L_PercICV",56.6,19.8090579113178,20.3112893283312,21.2650384049082,22.4741383618303,23.5395781916349,24.2144790230531,24.5234088781931
"M4_GM_L_PercICV",57.6,19.7416610555715,20.26757397372,21.2177316432624,22.3558064602796,23.3188727741647,23.9182203956946,24.1914338126035
"M4_GM_L_PercICV",58.6,19.655885751916,20.2112768516995,21.1621140699005,22.2380835169463,23.1156202625613,23.6541857274521,23.8991551470633
"M4_GM_L_PercICV",59.6,19.5612273457752,20.1480468571973,21.0997018287122,22.1210194109129,22.9286284190132,23.4197718561772,23.6432068910519
"M4_GM_L_PercICV",60.6,19.4750028293301,20.086549919107,21.0327475343444,22.0048868426784,22.7566117256464,23.2122684397,23.4201674156934
"M4_GM_L_PercICV",61.6,19.4093963482923,20.0309222841926,20.9615567019588,21.8896149282754,22.5985178913536,23.0294947802391,23.2272774315941
"M4_GM_L_PercICV",62.6,19.3655586284012,19.9797012086683,20.8847546081379,21.7745634466098,22.453256759013,22.8697170005506,23.0625001560353
"M4_GM_L_PercICV",63.6,19.3406475387881,19.9309485056043,20.8017961503502,21.6594204754426,22.3198569714414,22.7315403703039,22.9243400347819
"M4_GM_L_PercICV",64.6,19.3275863849586,19.8819261284904,20.7130872646853,21.544608510935,22.1976259144032,22.6137282979177,22.8114677925724
"M4_GM_L_PercICV",65.6,19.3099333016795,19.8255661605809,20.6182790072041,21.4306431459589,22.0855965137857,22.5142691488619,22.7214978010471
"M4_GM_L_PercICV",66.6,19.2720464095159,19.7547045538609,20.5163854213121,21.3174492187815,21.9822796538428,22.4304811374817,22.6512401505121
"M4_GM_L_PercICV",67.6,19.2038918216021,19.6644583798898,20.4067310256863,21.2046941310041,21.8853544113305,22.3580279742476,22.5952840626522
"M4_GM_L_PercICV",68.6,19.1132002369154,19.5608432735445,20.2927915988471,21.0921666949621,21.7904890933165,22.2893709735456,22.5444350005583
"M4_GM_L_PercICV",69.6,19.0127269343923,19.4535444214434,20.1798182200993,20.979747334203,21.6920389688253,22.2144941178745,22.4863271786083
"M4_GM_L_PercICV",70.6,18.9102141010296,19.3486950252665,20.0713615431924,20.8673902523294,21.5858418450062,22.1256402862066,22.411125128009
"M4_GM_L_PercICV",71.6,18.8099237504919,19.2498903177328,19.9696325810668,20.7550790960102,21.4691343093588,22.0173528449981,22.311669982301
