ROI,Age_At_Visit,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
702,20.5338809034908,1215650.54502426,1252156.9443202,1324204.33958417,1425560.76413754,1539726.112394,1640142.94713486,1698971.99466047
702,21.5338809034908,1214783.15692596,1251396.00291663,1323578.75057528,1424972.83882963,1539076.60163733,1639433.31614995,1698230.20847123
702,22.5338809034908,1213915.05172066,1250634.87110396,1322953.44375758,1424385.08804033,1538427.07079928,1638723.72904361,1697488.55559245
702,23.5338809034908,1213046.27946895,1249873.58018042,1322328.45137519,1423797.62177688,1537777.72788305,1638014.40959689,1696747.23232472
702,24.5338809034908,1212176.83582723,1249112.13320292,1321703.77900915,1423210.43214117,1537128.54854296,1637305.33083078,1696006.21633541
702,25.5338809034908,1211306.7267702,1248350.53918039,1321079.43774957,1422623.53144464,1536479.54704847,1636596.50699072,1695265.52097857
702,26.5338809034908,1210435.95871759,1247588.80797656,1320455.43941992,1422036.93089847,1535830.73427053,1635887.94829122,1694525.15593341
702,27.5338809034908,1209564.53748985,1246826.94888631,1319831.79525987,1421450.64104678,1535182.12032357,1635179.66416027,1693785.13010034
702,28.5338809034908,1208692.47250877,1246064.97489896,1319208.52033853,1420864.67643868,1534533.7195173,1634471.66836567,1693045.45679435
702,29.5338809034908,1207819.78533688,1245302.91139929,1318585.64255028,1420279.06499131,1533885.56008888,1633763.98904933,1692306.16394766
702,30.5338809034908,1206946.50532154,1244540.79174274,1317963.19806173,1419693.84327446,1533237.67932907,1633056.66373415,1691567.28905544
702,31.5338809034908,1206072.65783898,1243778.6452507,1317341.21883055,1419109.0433917,1532590.10979124,1632349.72498299,1690828.86453013
702,32.5338809034908,1205198.30010469,1243016.53396139,1316719.77117176,1418524.73401762,1531942.92302212,1631643.24643872,1690090.96506997
702,33.5338809034908,1204323.54387288,1242254.57595014,1316098.98026693,1417941.04650736,1531296.25740811,1630937.37216478,1689353.73786217
702,34.5338809034908,1203448.51642868,1241492.90530406,1315478.98816294,1417358.13018587,1530650.27049678,1630232.26641986,1688617.35089205
702,35.5338809034908,1202573.3446918,1240731.65583244,1314859.93672476,1416776.13427472,1530005.11981278,1629528.09352759,1687881.97227093
702,36.5338809034908,1201698.22853811,1239971.03702686,1314242.04878748,1416195.29631406,1529361.05946104,1628825.12170306,1687147.87830724
702,37.5338809034908,1200823.44729205,1239211.34085021,1313625.63549953,1415615.95022256,1528718.44895163,1628123.7325479,1686415.46339507
702,38.5338809034908,1199949.28501993,1238452.86435028,1313011.01363646,1415038.4361387,1528077.65459216,1627424.31497206,1685685.12954273
702,39.5338809034908,1199076.02437272,1237695.90331023,1312398.49886191,1414463.0931187,1527439.04155659,1626727.25673137,1684957.27760955
702,40.5338809034908,1198203.94669655,1236940.75254267,1311788.4063318,1413890.26008822,1526802.97526698,1626032.94634077,1684232.3096037
702,41.5338809034908,1197333.33229985,1236187.70607837,1311181.0507492,1413320.27574667,1526169.82110391,1625341.77253258,1683510.62795314
702,42.5338809034908,1196464.46139333,1235437.0580307,1310576.74710657,1412753.4791858,1525539.94485854,1624654.12446608,1682792.6355269
702,43.5338809034908,1195597.57552021,1234689.06272074,1309975.76828534,1412190.16403953,1524913.6630624,1623970.33869504,1682078.68062837
702,44.5338809034908,1194732.80444837,1233943.85906026,1309378.26460477,1411630.49146943,1524291.14873108,1623290.59853991,1681368.95262644
702,45.5338809034908,1193870.24801498,1233201.55511976,1308784.35368149,1411074.58730294,1523672.53659844,1622615.04644966,1680663.5985014
702,46.5338809034908,1193010.00494715,1232462.25792418,1308194.15211489,1410522.57630905,1523057.96026763,1621943.8236835,1679962.76401198
702,47.5338809034908,1192152.07168725,1231725.96909051,1307607.66506815,1409974.46371494,1522447.42491263,1621276.93523019,1679266.45402779
702,48.5338809034908,1191296.29246637,1230992.5332666,1307024.73163802,1409430.07656142,1521840.74428889,1620614.18298041,1678574.46343672
702,49.5338809034908,1190442.4993098,1230261.78248735,1306445.17750424,1408889.2274506,1521237.71664674,1619955.35237795,1677886.57012275
702,50.5338809034908,1189590.51405486,1229533.53826221,1305868.81716337,1408351.71700154,1520638.12743917,1619300.21533924,1677202.5380046
702,51.5338809034908,1188740.02537613,1228807.48481518,1305295.32013125,1407817.19097048,1520041.59661815,1618648.36874935,1676521.95027886
702,52.5338809034908,1187890.63135765,1228083.21289583,1304724.25709713,1407285.18950487,1519447.63128251,1617999.29014205,1675844.26690587
702,53.5338809034908,1187041.92931143,1227360.31232647,1304155.19756387,1406755.25139512,1518855.73710174,1617352.45554389,1675168.94628399
702,54.5338809034908,1186193.53924248,1226638.39613332,1303587.73525853,1406226.94121246,1518265.44731815,1616707.37005961,1674495.47673946
702,55.5338809034908,1185345.18512416,1225917.18413729,1303021.57616762,1405699.94333982,1517676.42323466,1616063.67382139,1673823.48558502
702,56.5338809034908,1184496.62216426,1225196.42819962,1302456.45987542,1405173.97798438,1517088.36445833,1615421.04735667,1673152.64171614
702,57.5338809034908,1183647.60695505,1224475.88153578,1301892.1272654,1404648.7666898,1516500.97204716,1614779.17273694,1672482.6156244
702,58.5338809034908,1182798.00029688,1223755.40478372,1301328.43268387,1404124.15248588,1515914.0772882,1614137.86993921,1671813.22021589
702,59.5338809034908,1181947.86960064,1223035.07170923,1300765.45581021,1403600.21975958,1515327.77016994,1613497.23288272,1671144.55129735
702,60.5338809034908,1181097.30647062,1222314.98111014,1300203.30284882,1403077.08133189,1514742.17116063,1612857.38776698,1670476.73801886
702,61.5338809034908,1180246.40806019,1221595.23761211,1299642.08625484,1402554.85674947,1514157.40794554,1612218.46846706,1669809.91749192
702,62.5338809034908,1179395.38396771,1220876.06235833,1299082.04228316,1402033.79833192,1513573.75061897,1611580.76019754,1669144.38363912
702,63.5338809034908,1178544.54498639,1220157.78143652,1298523.51878901,1401514.27811989,1512991.59767423,1610944.68462181,1668480.57176671
702,64.5338809034908,1177694.20465574,1219440.7239849,1297966.86707617,1400996.67192242,1512411.35163122,1610310.66768412,1667818.92162639
702,65.5338809034908,1176844.64863351,1218725.19060194,1297412.4084845,1400481.32349412,1511833.38062244,1609679.09896161,1667159.83547433
702,66.5338809034908,1175995.98462961,1218011.29860057,1296860.27075259,1399968.36907809,1511257.83025523,1609050.13270293,1666503.47289687
702,67.5338809034908,1175148.24851306,1217299.09132693,1296310.50349154,1399457.86116578,1510684.75632335,1608423.82817605,1665849.89553563
702,68.5338809034908,1174301.47576375,1216588.6118114,1295763.15602909,1398949.85194716,1510114.21429262,1607800.24430297,1665199.16467666
702,69.5338809034908,1173482.67771045,1215907.86553408,1295248.07813818,1398476.57313243,1509581.00479277,1607216.4604454,1664589.70856334
702,70.5338809034908,1172610.94908113,1215172.99675368,1294675.90948155,1397941.53426858,1508980.94855319,1606561.4792235,1663906.49511028
702,71.5338809034908,1171767.25076202,1214467.93397021,1294136.09936244,1397441.32547934,1508418.33671702,1605946.42176062,1663264.68775899
702,72.5338809034908,1170924.63033498,1213764.74714978,1293598.88839611,1396943.81427402,1507858.47791766,1605334.32792791,1662625.98399901
702,73.5338809034908,1170083.06177571,1213063.41678816,1293064.26108502,1396448.98504361,1507301.35665396,1604725.18274206,1661990.36939925
702,74.5338809034908,1169242.45801956,1212363.85968635,1292532.13321451,1395956.74696304,1506746.87516217,1604118.88260351,1661357.73710501
702,75.5338809034908,1168402.72857626,1211665.98909373,1292002.4167083,1395467.00495168,1506194.93102326,1603515.31889688,1660727.97502792
702,76.5338809034908,1167563.77614013,1210969.71121919,1291475.01596515,1394979.65580456,1505645.41308566,1602914.37372993,1660100.96147613
702,77.5338809034908,1166725.43910519,1210274.86560513,1290949.76434778,1394494.51984325,1505098.12798512,1602315.84185755,1659476.48433562
702,78.5338809034908,1165887.52128818,1209581.25591213,1290426.45691801,1394011.3761256,1504552.83800407,1601719.47091142,1658854.28271291
702,79.5338809034908,1165049.82659624,1208888.68585948,1289904.88869584,1393530.00361171,1504009.30533069,1601125.00842804,1658234.09561503
702,80.5338809034908,1164212.164775,1208196.96537156,1289384.86157985,1393050.18914238,1503467.30120094,1600532.21200563,1657615.67269846
702,81.5338809034908,1163374.36574615,1207505.92595547,1288866.20174113,1392571.74757897,1502926.62904856,1599940.87507525,1656998.80156695
702,82.5338809034908,1162536.26425511,1206815.40427867,1288348.74110334,1392094.50038516,1502387.09987723,1599350.79946904,1656383.2787039
702,83.5338809034908,1161697.69563204,1206125.23761922,1287832.31218397,1391618.26962902,1501848.52533522,1598761.78768569,1655768.90126602
702,84.5338809034908,1160858.51458454,1205435.28327301,1287316.76861906,1391142.89990707,1501310.74111021,1598173.66757262,1655155.49252068
702,85.5338809034908,1160018.60612842,1204745.42985494,1286801.99713047,1390668.27113292,1500773.62057461,1597586.30672259,1654542.91668432
702,86.5338809034908,1159177.85806083,1204055.56888489,1286287.88748955,1390194.26645841,1500237.04055421,1596999.57635965,1653931.04170445
702,87.5338809034908,1158336.15999943,1203365.59378329,1285774.33143254,1389720.77108938,1499700.8800366,1596413.34994871,1653319.73780928
702,88.5338809034908,1157493.4243905,1202675.42139998,1285261.24514287,1389247.69597502,1499165.04510041,1595827.52914896,1652708.90403508
702,89.5338809034908,1156649.58009721,1201984.98545264,1284748.56240903,1388774.97060228,1498629.4613332,1595242.03592349,1652098.46016462
702,90.5338809034908,1155804.55623732,1201294.21995596,1284236.2173233,1388302.52480527,1498094.05472899,1594656.79265228,1651488.32638544
702,91.5338809034908,1154958.29056541,1200603.0637281,1283724.14896913,1387830.30644151,1497558.78371801,1594071.75552075,1650878.45238723
702,92.5338809034908,1154110.75337139,1199911.48827878,1283212.33079171,1387358.30229851,1497023.6504667,1593486.92641446,1650268.83373404
702,93.5338809034908,1153261.91227972,1199219.50515615,1282700.77892938,1386886.41344112,1496488.42953342,1592902.07091821,1649659.27689875
