Index,Code,Name
702,MUSE_702,ICV
701,MUSE_701,TotalBrain
601,MUSE_601,GM
604,MUSE_604,WM
509,MUSE_509,Ventricles
501,MUSE_501,CorpusCallosum
502,MUSE_502,Cerebellum
503,MUSE_503,Deep_WM_GM
504,MUSE_504,Frontal
505,MUSE_505,Limbic
506,MUSE_506,Occipital
507,MUSE_507,Parietal
508,MUSE_508,Temporal
404,MUSE_404,Frontal_GM
411,MUSE_411,Temporal_GM
31,MUSE_31,Amygdala_R
32,MUSE_32,Amygdala_L
36,MUSE_36,Caudate_R
37,MUSE_37,Caudate_L
47,MUSE_47,Hippocampus_R
48,MUSE_48,Hippocampus_L
57,MUSE_57,Putamen_R
58,MUSE_58,Putamen_L
59,MUSE_59,ThalamusProper_R
60,MUSE_60,ThalamusProper_L
