"VarName","Age","centile_5","centile_25","centile_50","centile_75","centile_95"
"MUSE_701",21,1127122.03744014,1239994.82106561,1321157.05525527,1404515.17790165,1528253.32818104
"MUSE_701",22,1124425.91277414,1236990.56968677,1318046.30440132,1401391.25763048,1525282.40779692
"MUSE_701",23,1121735.12129847,1233993.20445553,1314942.73126996,1398274.62055967,1522319.43286917
"MUSE_701",24,1119049.16226985,1231002.54880535,1311846.25189817,1395165.15317995,1519364.02033456
"MUSE_701",25,1116368.05455635,1228018.53544027,1308756.79015684,1392062.80849821,1516416.234266
"MUSE_701",26,1113693.59225024,1225041.47220905,1305674.29526887,1388967.77092392,1513477.71749971
"MUSE_701",27,1111027.931765,1222071.74708055,1302598.72216736,1385880.27809066,1510550.48851396
"MUSE_701",28,1108373.21308603,1219109.75107554,1299530.02767205,1382800.57092867,1507636.60434093
"MUSE_701",29,1105731.96160191,1216156.06574104,1296468.23951636,1379728.87300239,1504738.06875865
"MUSE_701",30,1103107.23712598,1213211.53455925,1293413.48256002,1376665.38152834,1501856.79656081
"MUSE_701",31,1100502.09646565,1210277.0148743,1290365.88751367,1373610.2938983,1498994.73822172
"MUSE_701",32,1097919.29864285,1207353.32085938,1287325.58552857,1370563.75074131,1496153.55192017
"MUSE_701",33,1095359.03143715,1204440.88378888,1284292.72454664,1367525.29098471,1493331.45046626
"MUSE_701",34,1092820.00230606,1201539.90963458,1281267.4615573,1364494.09624225,1490524.57180428
"MUSE_701",35,1090300.91046172,1198650.59648032,1278249.95207397,1361469.33579223,1487728.95380736
"MUSE_701",36,1087800.18447245,1195773.06911562,1275240.33230382,1358450.10971913,1484940.2427463
"MUSE_701",37,1085315.24602906,1192907.20015777,1272238.67282881,1355435.2873088,1482152.85550124
"MUSE_701",38,1082843.32587764,1190052.80397057,1269245.02887719,1352423.67841232,1479360.83582999
"MUSE_701",39,1080381.68228358,1187209.68678293,1266259.45178299,1349414.07997811,1476558.09484226
"MUSE_701",40,1077926.62148679,1184377.30772536,1263281.83142227,1346405.04386454,1473737.54378997
"MUSE_701",41,1075473.0752314,1181554.6296747,1260311.82690009,1343394.7736138,1470890.6921303
"MUSE_701",42,1073015.94767209,1178740.58428943,1257349.08236258,1340381.44497266,1468008.84214153
"MUSE_701",43,1070550.70847958,1175934.20930711,1254393.24983393,1337363.32391022,1465083.79745916
"MUSE_701",44,1068078.11989032,1173135.60228841,1251444.03463643,1334339.62895514,1462113.55961769
"MUSE_701",45,1065602.09940092,1170345.50035161,1248501.17523618,1331310.16808807,1459100.00653372
"MUSE_701",46,1063126.54806967,1167564.64447943,1245564.41288841,1328274.77185989,1456045.17918344
"MUSE_701",47,1060656.90020109,1164794.09842278,1242633.60162345,1325233.83865002,1452953.80997259
"MUSE_701",48,1058204.55515899,1162036.165927,1239709.01681277,1322189.88896195,1449840.6262354
"MUSE_701",49,1055782.19264043,1159293.42651913,1236791.03100929,1319145.94564313,1446722.80560619
"MUSE_701",50,1053402.22701641,1156568.41804452,1233880.01427329,1316105.01643295,1443617.51997076
"MUSE_701",51,1051073.01391653,1153862.88709777,1230976.3945105,1313069.63926328,1440537.90919426
"MUSE_701",52,1048796.96548654,1151177.41258213,1228080.68781649,1310041.64845535,1437490.99423175
"MUSE_701",53,1046575.88790719,1148512.46117605,1225193.41292223,1307022.811054,1434483.34238156
"MUSE_701",54,1044410.84152383,1145868.36003094,1222315.07298483,1304014.74927466,1431520.76702786
"MUSE_701",55,1042295.87808878,1143244.04044271,1219446.04623997,1301017.53019739,1428599.63813962
"MUSE_701",56,1040220.79105827,1140637.56990946,1216586.63103565,1298030.23247309,1425710.22145685
"MUSE_701",57,1038175.55849824,1138047.03213354,1213737.12152623,1295051.91557932,1422842.5603545
"MUSE_701",58,1036149.90178959,1135470.41142571,1210897.74914152,1292081.42319074,1419985.59999988
"MUSE_701",59,1034131.70165697,1132905.19764485,1208068.50437092,1289116.74835346,1417124.31497439
"MUSE_701",60,1032108.69610835,1130348.79781487,1205249.31809202,1286155.67520896,1414242.51109288
"MUSE_701",61,1030069.01096761,1127798.66975348,1202440.11961253,1283195.9902255,1411323.78999454
"MUSE_701",62,1028000.95574661,1125252.25299974,1199640.71287679,1280235.17197509,1408350.72363586
"MUSE_701",63,1025892.87288783,1122706.92626614,1196850.70608532,1277270.21795251,1405304.44108331
"MUSE_701",64,1023733.29726646,1120160.09874967,1194069.693625,1274298.1175134,1402166.10256331
"MUSE_701",65,1021511.25474067,1117609.28076563,1191297.27033029,1271315.99183314,1398917.81760926
"MUSE_701",66,1019220.29653783,1115052.83694342,1188532.99675256,1268322.02297546,1395549.30037555
"MUSE_701",67,1016856.80152134,1112489.68479873,1185776.41227666,1265315.11458779,1392055.61859187
"MUSE_701",68,1014416.93497833,1109918.74180155,1183027.05995689,1262294.2402509,1388432.69001376
"MUSE_701",69,1011897.21057395,1107339.00885501,1180284.48793492,1259258.66922473,1384678.60194802
"MUSE_701",70,1009296.57475047,1104749.87632041,1177548.25256458,1256208.70481786,1380797.81460132
"MUSE_701",71,1006614.33733666,1102150.81881436,1174817.91528432,1253144.94176758,1376796.83097258
"MUSE_701",72,1003849.43751313,1099541.28822663,1172093.04232617,1250068.00242849,1372682.61825955
"MUSE_701",73,1001000.5357612,1096920.77837445,1169373.26195486,1246978.597781,1368462.630507
"MUSE_701",74,998066.067412684,1094288.86606624,1166658.30093674,1243877.56417199,1364144.78431808
"MUSE_701",75,995044.075975938,1091645.11126909,1163947.89733076,1240765.75663457,1359737.18192963
"MUSE_701",76,991932.337047573,1088989.08593384,1161241.79801452,1237644.05720955,1355248.15774206
"MUSE_701",77,988730.264778669,1086320.84461912,1158539.83448023,1234513.64625246,1350687.96727354
"MUSE_701",78,985438.36622449,1083640.77250688,1155841.89662972,1231375.89198146,1346067.91547224
"MUSE_701",79,982056.887143033,1080949.24332228,1153147.87650772,1228232.13525458,1341398.87019728
